RegioNaam,Region code,Total population (nr.),Men (%),Women (%),<5 years old (%),5-9 years old (%),10-14 years old (%),15-19 years old (%),20-24 years old (%),25-44 years old (%),45-64 years old (%),65-79 years old (%),80+ years old  (%),Total demographic pressure (%),Green pressure (%),Grey pressure (%),Unmarried (%),Married (%),Divorced (%),Widowed (%),Dutch background (%),Migration background - any (%),Migration background - western (%),Migration background - any non-western (%),Migration background - Maroccan (%),"Migration background - former Dutch Antilles, Aruba  (%)",Migration background - Suriname (%),Migration background - Turkey (%),Migration background - remaining non-western (%),Population density (people/km2),Single person households (%),Households without children (%),Households with children (%),Average household size (people/household),Total housing stock (nr.),Newly constructed houses (%),Housing density (houses/km2),Owner-occupied houses (%),Rental houses (%),House ownership unknown (%),Average house price (x 1000EUR),Total students (nr.),Students - secondary education (%),Students - bol (%),Students - bbl (%),Students - hbo (%),Students - university (%),Companies (nr.),"Companies by type - agriculture, forestry and fishery (%)",Companies by type - industry and engery (%),Companies by type - trade and catering industry (%),"Companies by type - transport, information and comunication (%)",Companies by type - financial services and real-estate (%),Companies by type - business services (%),"Companies by type - culture, recreation and other (%)",Cattle (nr.),Sheep (nr.),Goats (nr.),Horses (nr.),Pigs (nr.),Chickens (nr.),Turkeys (nr.),Ducks for slaughter (nr.),Other poultry (nr.),Rabbits (nr.),Fur animals (nr.),Cultivated land (are),Cultivated land by type - agriculture (%),"Cultivated land by type - horticulture, open ground (%)","Cultivated land by type - horticulture, under glass (%)",Cultivated land by type - permanent grassland (%),Cultivated land by type - natural grassland (%),Cultivated land by type - temporary grassland (%),Cultivated land by type - green fodder crops (%),Cars (per 1000 inhabitants),Privately owned cars (per 1000 inhabitants),Motorcycles (per 1000 inhabitants),Mopeds (per 1000 inhabitants),Total road length (km),Road owned by municipality (%),Road owned by province (%),Road owned by state (%),Total area (km2),Districts (nr.),Neighbourhoods (nr.),Kiesgerechtigden,Opkomst,OngeldigeStemmen,BlancoStemmen,GeldigeStemmen,VVD,D66,PVV (Partij voor de Vrijheid),CDA,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),GROENLINKS,Forum voor Democratie,Partij voor de Dieren,ChristenUnie,Volt,JA21,Staatkundig Gereformeerde Partij (SGP),DENK,50PLUS,BBB,BIJ1,CODE ORANJE,NIDA,Splinter,Piratenpartij,JONG,Trots op Nederland (TROTS),Lijst Henk Krol,NLBeter,"Blanco (Zeven, A.J.L.B.)",LP (Libertaire Partij),OPRECHT,JEZUS LEEFT,DE FEESTPARTIJ (DFP),U-Buntu Connected Front,Vrij en Sociaal Nederland,Partij van de Eenheid,Wij zijn Nederland,Partij voor de Republiek,Modern Nederland,De Groenen
Amsterdam,GM0363,872757,0.495990293,0.504009707,5.3,4.6,4.5,4.8,7.7,36.4,24.1,10,2.7,46.6,28,18.6,58.5,28.5,9.9,3.1,44.4,55.6,19.5,36.1,8.8,1.4,7.4,5.1,13.4,5273,54.5,21.4,24.1,1.81,447351,0.005722576,2703,29.4,70.1,0.5,418,113868,0.335722064,0.128007869,0.02728598,0.214248077,0.29473601,141080,0,0.074248653,0.16667848,0.140062376,0.089913524,0.339594556,0.188616388,2711,1933,425,279,2422,0,0,0,0,0,0,182847,4.4,0.7,0.1,83.3,5.1,1.8,4.8,272,238,23,57,1853,0.932002159,0.002698327,0.065299514,219.49,99,479,582177,440919,2136,956,437827,2,1,7,6,9,14,11,17,3,5,8,4,10,12,19,15,21,20,18,13,27,31,22,16,23,24,25,29,33,35,32,28,37,26,30,34,36
Sint Anthonis,GM1702,11664,0.51457476,0.48542524,4.9,4.4,5.3,6.5,5.9,19.6,31.7,15.5,6.1,74.7,36.8,37.9,35.7,52.1,5.8,6.4,93,7,4.3,2.7,0,0.1,0.2,0.1,2.2,117,26.7,36,37.3,2.42,4863,0.003084516,49,75.6,24.3,0.1,298,1444,0.427977839,0.20498615,0.073407202,0.22299169,0.070637119,1365,0.304029304,0.146520147,0.157509158,0.043956044,0.084249084,0.164835165,0.098901099,24451,1490,2128,300,421542,582617,0,0,0,0,68055,789073,34.8,7.8,0.1,10.5,3.2,18.5,25.1,576,562,61,76,263,0.942965779,0.057034221,0,99.76,6,14,9442,7901,10,9,7882,1,4,2,3,5,16,8,6,7,9,12,15,11,10,18,20,17,22,30,26,13,21,23,27,14,24,25,28,19,29,31,32,33,34,35,36,37
Noordoostpolder,GM0171,47291,0.506608023,0.493391977,5.9,6,6.4,6.9,5.3,24.4,27.2,13.8,4.1,75.5,44.2,31.3,34.1,52.5,8.1,5.3,84.2,15.8,8.1,7.8,1.3,0.7,0.5,0.8,4.6,103,30.7,32.1,37.2,2.37,20134,0.015446508,44,65.4,34.5,0.1,210,5951,0.484120316,0.222315577,0.079650479,0.184338767,0.029574861,5100,0.237254902,0.164705882,0.182352941,0.062745098,0.093137255,0.17254902,0.08627451,15463,12327,5607,334,24259,482340,7705,0,0,0,0,3666389,73.6,10.3,0.9,3.2,1.3,7.6,3.1,523,492,49,61,818,0.759168704,0.168704156,0.072127139,593.47,12,49,34304,28235,31,47,28157,1,4,3,2,10,8,5,6,13,16,12,7,9,11,14,15,18,20,29,17,22,19,21,24,25,27,28,31,33,23,26,30,32,34,35,36,37
Tubbergen,GM0183,21275,0.51106933,0.48893067,4.6,5,6.2,7.9,6.5,20.4,29.9,14.5,4.9,76.1,42,34.2,35.1,53.6,4.4,6.9,95.3,4.7,3.3,1.4,0,0,0,0,1.3,145,25.4,31.3,43.3,2.58,8604,0.007903301,59,71.4,27.8,0.8,285,3195,0.41971831,0.189671362,0.088888889,0.240375587,0.061345853,2275,0.235164835,0.169230769,0.210989011,0.043956044,0.107692308,0.145054945,0.09010989,40139,776,4765,714,138878,1012432,0,0,0,0,0,1044174,5.2,0.9,0,54.6,1.2,16.1,22,577,533,56,70,534,0.906367041,0.093632959,0,147.44,8,21,16884,14355,12,18,14325,4,1,3,2,16,8,5,12,6,7,9,11,10,15,18,13,20,23,26,22,21,29,17,24,25,34,14,28,19,27,30,31,32,33,35,36,37
Staphorst,GM0180,17145,0.511927676,0.488072324,7.5,7.3,7.6,8,6.9,23.1,24,12.1,3.4,85,56.3,28.7,31.1,59.9,3.7,5.3,95.4,4.6,2.5,2.1,0,0,0.1,0,1.9,128,24.5,28.4,47.2,2.86,5933,0.010112928,44,77.4,22.4,0.2,269,2462,0.475223396,0.199025183,0.112103981,0.18602762,0.027619821,1870,0.21657754,0.256684492,0.195187166,0.045454545,0.080213904,0.139037433,0.061497326,34883,8220,4365,193,11354,659537,0,0,0,0,0,946634,3.1,0.3,0.1,69.2,6.7,5.7,15,539,509,54,70,452,0.931415929,0.026548673,0.044247788,135.69,8,25,12393,11328,8,5,11315,13,10,4,1,3,8,2,12,16,6,5,7,9,11,15,23,18,20,29,24,14,21,25,26,17,22,27,19,28,33,30,31,32,34,35,36,37
Baarle-Nassau,GM0744,6859,0.504009331,0.495990669,4.7,4.3,4.6,5.2,4,20.7,29.4,20.3,6.7,84.6,34.9,49.8,31.6,51.8,8.9,7.7,74.2,25.8,22.7,3.1,0.2,0.2,0.2,0.2,2.2,90,32.5,35.4,32,2.21,2875,0.012521739,38,69.7,27.8,2.5,291,587,0.488926746,0.180579216,0.068143101,0.214650767,0.04770017,955,0.214659686,0.183246073,0.22513089,0.047120419,0.073298429,0.162303665,0.09947644,48392,51,5135,171,159591,354992,0,0,0,9279,0,512183,37.6,1.8,0,15.4,7.3,17.9,20.1,616,583,51,83,230,0.947826087,0.052173913,0,76.29,3,7,5386,4249,19,3,4227,1,4,3,2,5,8,6,9,12,16,7,15,11,10,18,20,30,25,13,14,21,22,26,17,24,28,31,19,23,27,29,32,33,34,35,36,37
Dinkelland,GM1774,26461,0.510676089,0.489323911,4.3,4.7,5.9,7.2,6.3,19.9,29.6,16,6.1,79.3,39.6,39.7,35,53,5,7,91.9,8.1,5.9,2.2,0,0.1,0,0.3,1.7,151,26.1,33,40.9,2.51,10939,0.007313283,62,73.9,25.8,0.3,281,3777,0.431029918,0.187450357,0.08075192,0.245962404,0.054805401,2830,0.201413428,0.150176678,0.220848057,0.040636042,0.116607774,0.169611307,0.097173145,38676,3053,4089,854,100449,117286,0,0,0,180,0,1191245,4,2.4,0.3,54.5,3.5,16.1,19.1,564,525,50,84,649,0.921417565,0.069337442,0.009244992,176.83,12,45,21226,18034,25,12,17997,4,1,3,2,16,8,5,6,12,7,9,11,10,15,23,18,13,20,21,22,14,17,25,24,19,26,27,28,29,34,30,31,32,33,35,36,37
Zundert,GM0879,21829,0.510284484,0.489715516,4.3,4.5,4.3,5.5,5.7,21.5,31.9,16.7,5.6,69.3,31.5,37.7,35.2,51.1,6.9,6.9,84,16,12.4,3.6,0.9,0.1,0.2,0.1,2.2,181,30.8,35.8,33.4,2.25,9472,0.013302365,79,74.7,25,0.2,299,2126,0.436030103,0.184854186,0.079962371,0.241768579,0.05738476,2430,0.197530864,0.174897119,0.185185185,0.051440329,0.090534979,0.187242798,0.113168724,13979,111,860,312,45595,481779,0,0,0,0,0,742452,12.3,30,1.3,21.7,3.2,16,15.5,579,560,44,56,358,0.941340782,0.058659218,0,121.21,5,11,17244,13451,23,24,13404,1,4,3,2,5,8,6,12,16,9,7,15,11,10,18,14,20,17,13,22,19,26,25,27,21,24,30,28,29,23,31,32,33,34,35,36,37
Ommen,GM0175,18009,0.506524516,0.493475484,4.8,5.5,6.2,6.3,5,20.9,28.8,17.4,5.2,83,41.6,41.4,32.1,54.3,7,6.6,92.2,7.8,4.6,3.2,0,0.1,0.1,0.1,2.8,100,30.1,34.5,35.3,2.37,7519,0.010240724,42,70.2,29.6,0.2,267,2171,0.474435744,0.204053432,0.061722708,0.196222939,0.063565177,1800,0.191666667,0.141666667,0.244444444,0.047222222,0.072222222,0.191666667,0.108333333,21537,679,1096,467,143256,583254,0,0,0,0,0,954093,15.8,0.6,0,42.3,7,17.8,16.5,548,524,64,53,553,0.904159132,0.068716094,0.027124774,182.01,11,46,14195,12191,14,15,12162,4,1,10,2,3,16,8,5,6,7,9,13,12,11,15,18,20,17,29,22,14,23,26,21,24,25,28,34,33,19,27,30,31,32,35,36,37
Berkelland,GM1859,43747,0.50053718,0.49946282,3.9,4.5,5.8,6.5,5,18.7,30.7,19.1,6,84,37.9,46.1,32.7,53,6.4,7.9,92,8,5,2.9,0.3,0.1,0.1,0.5,2,170,30,35.7,34.3,2.29,19525,0.005121639,76,68.1,31.8,0.1,243,5383,0.44993498,0.231283671,0.082110347,0.197287758,0.039383244,4135,0.191051995,0.147521161,0.205562273,0.044740024,0.091898428,0.197097944,0.120918984,48984,2978,8108,1080,213009,464410,0,50954,0,20215,0,1773994,7.9,0.2,0,52,1.5,18,20.4,567,547,55,51,1015,0.902463054,0.086699507,0.010837438,260.21,5,72,35557,29706,33,31,29642,1,4,2,3,16,5,6,8,7,9,12,11,10,15,18,14,13,20,23,22,17,21,26,25,19,24,27,29,28,30,31,32,33,34,35,36,37
