"","descriptor1","descriptor2","party1","party2"
"1",1,1,2,1
"2",0,0,1,2
"3",1,0,1,2
"4",0,1,2,1
"5",1,1,2,1
"6",1,0,1,2
"7",0,0,1,2
"8",1,0,1,2
"9",1,1,2,1
"10",0,1,1,2
"11",0,1,1,2
"12",0,0,1,2
"13",0,1,2,1
"14",1,0,1,2
"15",0,1,1,2
"16",1,1,2,1
"17",0,0,1,2
"18",1,0,1,2
"19",1,0,1,2
"20",0,0,1,2
"21",1,1,2,1
"22",1,0,1,2
"23",1,1,2,1
"24",0,0,1,2
"25",1,0,1,2
"26",1,1,2,1
"27",1,1,2,1
"28",1,0,2,1
"29",0,0,1,2
"30",1,0,1,2
"31",1,1,2,1
"32",0,1,1,2
"33",1,1,2,1
"34",1,0,1,2
"35",0,0,2,1
"36",0,0,1,2
"37",1,1,2,1
"38",1,1,2,1
"39",1,0,1,2
"40",1,0,1,2
"41",0,1,1,2
"42",1,0,1,2
"43",0,0,1,2
"44",0,0,1,2
"45",0,0,1,2
"46",1,1,2,1
"47",1,0,1,2
"48",0,1,2,1
"49",0,0,1,2
"50",1,0,1,2
"51",0,1,1,2
"52",0,0,1,2
"53",0,0,1,2
"54",1,1,2,1
"55",0,0,1,2
"56",0,0,1,2
"57",0,1,1,2
"58",1,1,2,1
"59",1,1,2,1
"60",1,1,2,1
"61",0,0,1,2
"62",0,1,1,2
"63",0,0,1,2
"64",1,1,2,1
"65",0,1,1,2
"66",0,0,1,2
"67",1,0,1,2
"68",0,1,2,1
"69",1,0,1,2
"70",0,1,1,2
"71",0,0,1,2
"72",1,0,1,2
"73",0,0,1,2
"74",1,0,1,2
"75",0,1,1,2
"76",1,0,1,2
"77",1,1,2,1
"78",1,1,2,1
"79",0,1,1,2
"80",0,1,2,1
"81",0,1,1,2
"82",1,1,2,1
"83",0,0,2,1
"84",1,1,2,1
"85",1,0,1,2
"86",1,0,1,2
"87",1,0,1,2
"88",1,1,2,1
"89",0,0,1,2
"90",1,1,2,1
"91",0,1,1,2
"92",0,1,1,2
"93",0,1,1,2
"94",1,1,2,1
"95",1,1,2,1
"96",0,1,1,2
"97",0,0,1,2
"98",1,1,2,1
"99",1,1,2,1
"100",1,0,1,2
