"","descriptor1","descriptor2","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","party12","party13","party14","party15","party16","party17","party18","party19","party20","party21","party22","party23","party24","party25","party26","party27","party28","party29","party30","party31","party32"
"1",0,1,1,2,3,4,5,7,9,10,8,6,11,32,12,17,16,20,15,13,18,31,14,29,22,30,19,23,26,27,28,25,21,24
"2",0,0,1,2,4,3,5,7,6,9,8,10,17,11,14,13,12,19,15,32,18,22,16,20,26,31,27,25,29,30,28,23,24,21
"3",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"4",0,0,1,2,3,4,7,5,6,8,9,29,13,10,14,32,11,30,18,12,31,28,23,25,15,24,19,22,26,27,16,21,20,17
"5",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"6",1,0,1,2,3,4,5,7,6,8,11,9,10,12,13,16,31,30,15,17,32,14,24,20,18,19,29,21,27,22,28,23,26,25
"7",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"8",0,0,1,3,2,4,6,5,7,8,9,13,12,11,23,10,28,21,15,32,22,14,31,17,29,20,18,30,19,16,24,25,27,26
"9",0,1,1,2,5,4,3,7,6,8,10,9,11,28,12,30,32,13,18,31,15,14,29,20,27,19,17,16,24,26,23,21,25,22
"10",0,0,1,3,2,4,9,5,8,6,10,7,11,13,12,29,30,31,32,28,25,14,21,15,18,16,24,26,27,17,23,19,20,22
"11",0,1,1,2,3,4,7,5,6,10,9,8,14,12,31,18,32,13,30,11,16,23,20,17,21,15,26,28,27,29,24,19,22,25
"12",0,0,1,2,3,4,5,7,6,8,9,11,32,10,31,15,28,26,18,29,30,23,17,13,12,24,16,14,20,22,27,19,25,21
"13",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"14",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"15",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"16",0,1,2,1,4,3,5,7,8,6,10,18,9,11,20,12,16,13,14,31,32,29,15,28,22,30,17,24,25,19,26,21,27,23
"17",0,0,1,3,2,4,5,8,7,9,6,11,10,31,12,32,30,27,22,13,15,14,29,28,23,19,16,17,24,21,20,26,25,18
"18",1,0,1,2,3,4,6,10,5,12,8,7,9,11,16,14,19,15,13,17,21,18,22,20,28,32,23,31,29,24,25,30,27,26
"19",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"20",1,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
