"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","party12","party13","party14","party15","party16","party17","party18","party19","party20","party21","party22","party23","party24","party25","party26","party27","party28","party29","party30","party31","party32"
"1",0,0,1,0,0,0,0,0,1,3,2,4,5,6,7,10,8,15,9,11,32,12,13,31,14,28,16,25,30,20,17,18,23,19,29,26,27,22,21,24
"2",0,1,1,1,1,0,0,0,1,2,4,3,5,8,6,9,11,7,10,17,32,13,31,20,18,14,12,28,21,30,24,15,16,27,23,29,19,26,25,22
"3",0,1,1,0,0,1,0,0,1,2,3,4,6,5,11,8,10,7,9,32,18,12,16,14,31,13,30,15,29,17,23,20,19,27,21,24,28,26,22,25
"4",0,1,1,0,1,0,1,0,1,3,2,4,5,6,7,14,9,10,12,11,8,13,15,22,21,32,31,17,16,30,26,19,18,23,24,20,29,25,27,28
"5",0,0,0,1,1,0,0,1,1,2,3,4,9,6,5,7,8,32,14,13,10,29,12,11,15,31,30,16,18,23,17,28,26,19,24,21,25,20,27,22
"6",0,1,0,1,1,1,0,0,1,2,3,4,6,5,9,8,10,7,13,12,11,27,14,29,31,30,17,25,32,15,26,16,20,18,23,28,24,19,22,21
"7",1,0,1,1,1,1,0,0,1,2,3,4,5,7,6,9,31,10,8,13,11,12,15,30,32,14,19,17,26,16,28,27,29,22,23,20,18,21,25,24
"8",1,1,1,0,0,0,0,1,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"9",0,0,1,0,0,0,1,0,2,1,3,4,5,6,7,8,11,32,9,12,10,18,15,20,13,29,16,14,31,23,30,19,24,17,26,21,27,28,25,22
"10",1,1,1,0,0,0,1,0,32,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"11",0,0,0,0,1,1,1,0,1,2,3,4,5,6,7,10,32,8,9,11,12,30,13,18,31,16,20,14,17,28,15,26,25,22,19,24,23,29,21,27
"12",1,0,1,1,0,0,0,1,1,3,2,6,4,7,5,9,8,12,16,14,10,31,32,11,13,25,28,15,30,24,23,29,18,20,17,19,22,27,21,26
"13",0,1,0,0,0,1,0,1,1,2,3,4,5,6,8,11,7,14,9,10,31,30,18,32,12,15,13,16,29,25,20,22,27,26,28,24,21,17,23,19
"14",0,1,0,0,0,0,1,0,1,2,3,6,4,5,7,10,9,8,16,30,11,17,13,12,29,32,28,15,31,14,20,22,19,26,18,27,25,24,23,21
"15",1,0,1,1,0,0,1,0,1,2,3,4,5,7,6,13,9,8,10,32,11,19,18,12,14,30,21,15,16,28,31,20,17,24,23,22,27,29,25,26
