"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","party1","party2"
"1",0,0,1,1,0,0,0,0,1,2
"2",0,0,0,0,1,1,0,0,1,2
"3",0,1,0,1,1,1,0,1,1,2
"4",1,0,1,0,0,1,0,0,1,2
"5",1,1,0,1,1,1,1,0,2,1
"6",0,0,1,0,1,0,1,1,1,2
"7",1,1,0,1,1,1,0,1,2,1
"8",1,0,0,1,1,1,0,0,1,2
"9",1,1,0,1,1,0,0,1,2,1
"10",1,0,1,0,0,1,1,1,1,2
"11",0,1,0,1,1,0,1,1,2,1
"12",0,1,0,0,1,1,0,1,1,2
"13",0,1,0,0,1,0,0,0,1,2
"14",0,0,0,0,0,0,1,0,1,2
"15",0,1,1,1,0,0,1,0,1,2
"16",0,0,0,1,1,0,1,1,1,2
"17",1,0,1,1,0,0,1,0,2,1
"18",1,1,0,1,0,0,1,1,2,1
"19",0,0,1,1,0,1,1,1,1,2
"20",0,1,0,1,1,0,0,1,2,1
"21",1,1,0,1,0,0,0,0,2,1
"22",1,1,0,0,0,0,0,1,2,1
"23",0,1,1,0,1,1,1,0,1,2
"24",1,1,1,0,1,1,1,0,2,1
"25",0,1,0,1,0,0,0,0,1,2
"26",1,1,0,1,0,0,0,0,2,1
"27",0,0,1,0,0,1,0,0,1,2
"28",0,1,0,1,1,0,1,1,1,2
"29",0,1,0,0,0,0,1,0,1,2
"30",0,1,1,0,1,1,0,1,1,2
"31",0,1,0,0,0,1,1,1,1,2
"32",1,0,1,1,0,1,0,1,1,2
"33",0,1,0,1,0,1,1,1,1,2
"34",0,1,0,1,0,0,1,1,1,2
"35",1,0,1,1,0,1,0,1,1,2
"36",1,1,1,1,1,0,1,1,2,1
"37",0,0,0,1,1,1,1,0,1,2
"38",1,0,0,0,1,0,0,0,1,2
"39",1,1,1,0,0,0,0,1,2,1
"40",0,1,1,1,1,1,1,0,1,2
"41",0,0,0,1,0,1,0,0,1,2
"42",1,1,0,0,1,0,0,0,2,1
"43",1,0,0,0,0,0,1,0,1,2
"44",1,0,1,0,1,0,1,1,1,2
"45",0,0,0,0,0,1,1,1,1,2
"46",0,1,0,0,0,1,1,1,1,2
"47",0,1,1,0,1,0,0,0,1,2
"48",0,0,1,1,0,1,1,1,1,2
"49",1,0,1,1,1,1,1,0,1,2
"50",0,1,1,1,0,0,0,0,1,2
"51",1,1,1,1,0,1,0,0,2,1
"52",0,0,0,0,1,0,0,0,1,2
"53",0,1,0,0,0,0,1,1,1,2
"54",1,1,1,1,0,0,0,1,2,1
"55",0,0,0,0,1,0,0,0,1,2
"56",1,1,0,1,0,0,1,0,2,1
"57",0,0,0,1,1,0,1,0,1,2
"58",1,0,1,1,1,0,1,1,1,2
"59",0,1,0,0,0,0,0,0,1,2
"60",0,1,1,1,1,1,1,1,1,2
"61",1,1,0,0,0,1,1,0,2,1
"62",1,1,1,0,1,1,1,0,2,1
"63",1,0,1,0,0,0,0,1,1,2
"64",0,0,1,1,0,1,1,1,1,2
"65",1,0,0,1,1,1,1,1,1,2
"66",0,0,0,1,1,0,1,0,1,2
"67",0,0,1,1,0,1,0,0,1,2
"68",1,1,1,1,0,1,1,1,2,1
"69",0,1,1,0,1,0,0,1,1,2
"70",1,1,1,1,1,0,1,1,2,1
"71",1,1,1,0,0,1,1,0,2,1
"72",1,1,1,0,0,0,1,1,2,1
"73",1,1,0,0,1,0,1,0,2,1
"74",0,0,1,0,0,0,1,1,1,2
"75",0,1,1,1,1,1,1,0,1,2
"76",1,1,1,1,0,0,1,1,2,1
"77",0,1,0,1,1,1,0,0,1,2
"78",1,0,1,1,0,1,1,0,1,2
