"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","party1","party2","party3","party4","party5","party6","party7","party8"
"1",1,1,1,0,0,0,0,1,8,1,2,3,4,5,6,7
"2",1,0,1,1,0,0,1,1,1,2,5,3,4,8,6,7
"3",0,0,0,0,0,0,1,1,1,2,4,6,3,5,8,7
"4",0,0,1,0,0,0,1,1,1,2,3,4,6,7,5,8
"5",1,0,0,0,0,1,0,0,1,2,4,3,5,6,7,8
"6",0,0,0,1,0,1,1,0,1,2,3,7,4,6,8,5
"7",1,0,0,1,0,1,0,1,2,1,4,3,5,6,8,7
"8",1,0,0,1,0,1,0,1,1,2,4,3,5,8,7,6
"9",1,0,0,0,1,1,0,1,1,2,3,5,4,7,6,8
"10",1,1,0,1,0,1,1,0,8,1,2,3,4,5,6,7
"11",0,1,0,1,1,0,1,0,1,2,3,4,6,5,8,7
"12",0,0,1,1,1,0,1,1,1,2,3,4,7,5,6,8
"13",0,0,0,1,0,0,0,0,1,2,3,5,4,6,7,8
"14",1,0,1,1,0,1,0,0,1,2,3,4,5,6,8,7
"15",0,1,1,0,1,0,1,1,1,2,4,3,5,6,7,8
"16",1,0,1,0,0,0,0,1,1,4,2,3,8,6,7,5
"17",1,0,0,1,0,1,1,1,1,2,4,3,6,5,8,7
"18",0,1,0,0,1,1,0,0,1,2,3,4,5,6,7,8
"19",1,0,0,0,0,1,1,0,1,3,2,4,6,7,5,8
"20",1,1,0,1,0,0,0,0,8,1,2,3,4,5,6,7
"21",1,0,0,1,1,0,0,1,1,3,2,4,6,5,8,7
"22",0,1,1,1,1,0,1,1,1,2,3,6,5,4,8,7
"23",1,0,1,0,0,0,1,1,1,2,3,8,4,6,5,7
"24",0,1,1,0,0,1,0,1,2,1,3,5,4,7,6,8
"25",1,1,1,0,1,0,1,0,8,1,2,3,4,5,6,7
"26",0,1,1,1,0,1,0,0,1,2,3,4,5,6,7,8
"27",1,0,1,1,1,0,0,1,1,2,4,3,6,7,5,8
"28",0,0,0,0,1,1,0,0,1,2,3,4,8,5,6,7
"29",0,0,0,1,1,0,0,1,1,2,3,4,5,8,7,6
"30",0,1,1,0,1,0,1,0,1,2,3,4,5,7,8,6
"31",0,0,1,0,1,1,1,0,1,2,3,5,4,7,6,8
"32",0,1,0,1,1,1,0,1,1,3,2,4,5,6,7,8
"33",1,1,0,0,0,1,0,0,8,1,2,3,4,5,6,7
"34",0,1,0,0,0,0,0,0,1,2,4,3,5,7,6,8
"35",1,0,1,1,1,1,0,1,1,2,3,4,5,8,6,7
"36",0,0,1,1,1,1,0,1,1,2,4,3,5,7,6,8
"37",1,1,1,1,1,0,1,0,8,1,2,3,4,5,6,7
"38",1,1,1,0,0,1,1,0,8,1,2,3,4,5,6,7
"39",0,1,1,1,1,1,1,1,1,2,3,4,6,5,8,7
"40",1,0,0,1,0,1,0,1,1,3,2,6,5,7,4,8
"41",1,0,0,0,1,1,1,1,1,4,2,3,7,5,8,6
"42",1,1,1,0,0,0,0,1,8,1,2,3,4,5,6,7
"43",0,1,0,1,1,1,1,0,1,3,2,4,5,6,8,7
"44",0,0,1,0,0,1,0,1,1,3,2,4,5,7,6,8
"45",0,1,0,1,1,1,1,1,1,3,2,4,8,5,6,7
"46",1,0,1,0,1,0,1,1,1,2,3,4,5,6,8,7
"47",0,0,0,0,0,0,1,1,1,2,3,4,5,6,7,8
"48",0,0,0,1,1,1,0,1,2,1,4,5,3,6,7,8
"49",0,0,0,1,0,0,1,1,1,2,3,4,6,7,5,8
"50",1,1,1,1,1,0,0,0,8,1,2,3,4,5,6,7
"51",0,1,1,1,1,1,0,1,1,2,3,4,5,6,7,8
"52",1,0,1,0,1,1,1,1,1,2,3,4,5,8,7,6
"53",0,1,1,1,1,0,1,1,1,2,3,5,6,4,7,8
"54",0,1,1,1,1,1,1,0,1,3,5,2,4,6,7,8
"55",1,0,0,1,1,0,0,0,1,2,3,4,6,5,7,8
"56",1,1,1,0,1,1,1,0,8,1,2,3,4,5,6,7
"57",0,0,0,0,0,1,0,0,1,2,4,3,5,6,8,7
"58",0,0,0,0,0,1,0,1,1,2,3,4,6,7,5,8
"59",1,1,0,0,1,1,0,0,8,1,2,3,4,5,6,7
"60",1,1,1,1,1,1,1,1,8,1,2,3,4,5,6,7
"61",0,1,1,1,1,1,1,1,1,2,3,4,6,7,5,8
"62",0,1,0,1,0,1,0,0,1,2,3,5,4,8,7,6
"63",0,1,0,1,0,0,0,0,1,2,3,4,5,6,7,8
"64",1,1,0,0,0,0,1,1,8,1,2,3,4,5,6,7
"65",1,0,1,1,1,0,1,1,1,2,3,4,5,6,8,7
"66",1,0,0,0,0,1,0,0,1,2,3,4,5,7,6,8
"67",1,1,1,1,0,1,0,0,8,1,2,3,4,5,6,7
"68",1,1,0,1,0,0,0,0,8,1,2,3,4,5,6,7
"69",0,1,1,1,0,1,1,1,1,2,3,4,5,6,7,8
"70",0,0,0,0,1,0,0,0,1,2,3,4,6,5,7,8
"71",1,1,1,1,0,1,1,0,8,1,2,3,4,5,6,7
"72",0,1,1,0,1,1,0,0,1,2,3,5,4,6,7,8
"73",1,1,1,0,0,1,0,1,8,1,2,3,4,5,6,7
"74",0,0,1,1,0,1,1,0,1,2,3,4,7,5,6,8
"75",1,0,1,0,1,1,1,1,1,2,3,4,5,6,7,8
"76",0,0,0,0,0,1,1,0,1,2,3,4,5,6,7,8
"77",0,0,1,1,1,1,0,1,2,1,3,4,5,7,6,8
"78",0,1,1,1,1,0,1,1,2,1,4,3,5,8,7,6
"79",1,1,1,0,1,1,0,1,8,1,2,3,4,5,6,7
"80",1,1,1,0,1,1,1,1,8,1,2,3,4,5,6,7
"81",1,1,0,0,0,0,1,0,8,1,2,3,4,5,6,7
"82",0,0,0,0,0,0,1,1,1,2,3,4,5,6,7,8
"83",1,0,0,1,1,1,1,1,2,1,3,4,5,7,6,8
"84",1,0,0,1,1,1,1,0,1,2,3,4,5,6,8,7
"85",1,0,0,0,1,1,0,1,1,2,3,4,7,5,8,6
"86",0,1,1,0,0,0,0,0,1,2,3,6,5,7,4,8
"87",1,1,0,1,0,1,0,0,8,1,2,3,4,5,6,7
"88",0,0,0,1,1,0,1,1,1,3,2,6,4,7,8,5
"89",1,0,0,0,1,0,0,1,1,2,3,4,7,5,6,8
"90",0,1,0,0,0,1,0,0,1,2,3,4,7,6,5,8
"91",0,0,1,0,1,1,0,0,1,3,2,4,5,8,6,7
"92",0,0,1,1,0,1,1,0,1,2,3,4,8,5,7,6
"93",0,1,1,0,1,0,0,1,1,2,3,4,7,6,5,8
"94",0,0,0,1,0,0,0,1,1,2,3,4,6,5,8,7
"95",1,0,0,0,1,1,1,1,2,1,3,4,6,5,7,8
"96",1,0,1,1,0,1,0,0,1,3,2,4,5,6,7,8
"97",1,0,0,1,0,1,0,0,1,2,4,3,5,7,6,8
"98",1,0,0,0,1,1,0,0,1,2,3,4,5,7,6,8
"99",1,1,1,1,1,0,0,1,8,1,2,3,4,5,6,7
