Number of rows,Number of descriptors,Number of targets,Average position,Miss rate,Average Duration (s)
1000.0,2.0,2.0,1.0,0.0,0.12
1000.0,2.0,32.0,1.0,0.0,0.31
1000.0,2.0,8.0,1.0,0.0,0.16
1000.0,32.0,2.0,1.0,0.0,18.65
1000.0,32.0,32.0,1.0,0.0,46.09
1000.0,32.0,8.0,1.0,0.0,25.16
1000.0,8.0,2.0,1.0,0.0,2.31
1000.0,8.0,32.0,1.0,0.0,5.86
1000.0,8.0,8.0,1.0,0.0,3.18
100.0,2.0,2.0,1.0,0.0,0.02
100.0,2.0,32.0,1.0,0.0,0.02
100.0,2.0,8.0,1.0,0.0,0.02
100.0,32.0,2.0,1.0,0.0,5.57
100.0,32.0,32.0,1.0,0.0,6.13
100.0,32.0,8.0,1.0,0.0,5.59
100.0,8.0,2.0,1.0,0.0,0.73
100.0,8.0,32.0,1.0,0.0,0.74
100.0,8.0,8.0,1.0,0.0,0.73
500.0,2.0,2.0,1.0,0.0,0.06
500.0,2.0,32.0,1.0,0.0,0.11
500.0,2.0,8.0,1.0,0.0,0.07
500.0,32.0,2.0,1.0,0.0,10.56
500.0,32.0,32.0,1.0,0.0,18.36
500.0,32.0,8.0,1.0,0.0,12.35
500.0,8.0,2.0,1.0,0.0,1.35
500.0,8.0,32.0,1.0,0.0,2.27
500.0,8.0,8.0,1.0,0.0,1.56
