nrows,ndescs,ntargets,none,sqrtnN,entropy,norm,labelwise,pairwise
100,2,2,0.00,0.04,0.04,0.01,0.01,0.02
100,2,8,0.00,0.04,0.04,0.04,0.03,0.04
100,2,32,0.06,0.04,0.05,0.31,0.31,0.31
100,8,2,0.04,1.18,1.2,0.64,0.65,0.76
100,8,8,0.05,1.31,1.29,1.18,0.93,1.03
100,8,32,0.10,1.37,1.38,6.67,6.01,6.64
100,32,2,0.33,1.37,9.19,4.98,4.66,4.58
100,32,8,0.34,9.63,9.44,7.43,7.6,7.36
100,32,32,0.43,10.01,9.94,47.55,47.93,48.35
500,2,2,0.01,0.15,0.15,0.02,0.02,0.02
500,2,8,0.03,0.12,0.12,0.11,0.12,0.11
500,2,32,0.33,0.16,0.18,1.45,1.46,1.46
500,8,2,0.09,2.38,2.45,5.85,0.83,0.81
500,8,8,0.12,2.64,2.63,19.51,2.48,2.63
500,8,32,0.44,3.4,3.42,213.55,27.89,30.02
500,32,2,1.04,19.48,19.1,0.8,5.91,5.86
500,32,8,1.17,21.11,20.54,2.68,19.37,19.45
500,32,32,2.23,26.15,25.47,29.75,213.91,215.05
1000,2,2,0.04,0.22,0.21,0.03,0.03,0.03
1000,2,8,0.07,0.27,0.25,0.21,0.21,0.21
1000,2,32,1.05,0.44,0.39,2.91,2.9,2.91
1000,8,2,0.16,4.05,4.11,1.1,1.03,0.99
1000,8,8,0.25,5.22,4.98,4.7,4.31,4.66
1000,8,32,1.39,6.53,6.62,59.39,53.79,57.28
1000,32,2,1.55,39.79,44.64,10.25,8.86,9.25
1000,32,8,2.38,39.65,38.27,33.48,33.72,33.71
1000,32,32,5.40,60.84,59.52,517.36,445.46,454.55
