nrows,ndescs,ntargets,none,sqrtnN,entropy,norm,labelwise,pairwise
100,2,2,0.00,0.02,0.02,0.01,0.01,0.01
100,2,8,0.06,0.02,0.02,0.02,0.02,0.02
100,2,32,0.06,0.02,0.02,0.2,0.19,0.19
100,8,2,0.04,0.74,0.67,0.38,0.41,0.41
100,8,8,0.05,0.71,0.7,0.63,0.61,0.66
100,8,32,0.11,0.71,0.7,3.82,3.72,3.76
100,32,2,0.32,4.83,4.82,2.68,2.87,2.72
100,32,8,0.33,5.22,5.06,4.71,4.41,4.51
100,32,32,0.41,5.41,5.24,27.28,27.52,27.37
500,2,2,0.01,0.05,0.05,0.01,0.01,0.01
500,2,8,0.03,0.06,0.06,0.08,0.07,0.07
500,2,32,0.32,0.08,0.08,0.85,0.86,0.85
500,8,2,0.09,1.18,1.15,0.45,0.46,0.45
500,8,8,0.12,1.26,1.23,1.46,1.44,1.55
500,8,32,0.45,1.57,1.56,17.77,17.93,18.62
500,32,2,1.02,9.19,9.24,3.4,3.64,3.44
500,32,8,1.15,10.19,10.04,11.41,11.22,11.82
500,32,32,2.17,12.66,12.02,126.13,127.11,131.36
1000,2,2,0.03,0.09,0.11,0.02,0.02,0.02
1000,2,8,0.07,0.13,0.13,0.14,0.13,0.16
1000,2,32,1.05,0.2,0.2,1.74,1.78,1.79
1000,8,2,0.16,1.83,1.86,0.57,0.58,0.57
1000,8,8,0.24,2.18,2.18,2.81,2.62,2.65
1000,8,32,1.36,3.15,3.13,34.03,32.5,33.13
1000,32,2,1.46,15.92,15.76,4.44,4.4,4.3
1000,32,8,2.32,17.41,17.22,20.79,19.63,19.88
1000,32,32,5.39,25.61,24.53,251.06,247.56,250.54
