"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","party1","party2","party3","party4","party5","party6","party7","party8"
"1",1,1,0,0,0,0,0,1,2,1,4,3,6,5,8,7
"2",1,0,1,0,1,1,0,1,1,2,4,3,6,5,7,8
"3",0,0,0,0,1,1,1,0,1,3,2,4,5,6,7,8
"4",1,1,1,1,1,1,1,0,2,1,4,3,6,5,8,7
"5",0,1,0,1,0,0,0,1,1,2,3,4,6,5,7,8
"6",0,0,0,0,1,1,0,1,1,2,3,5,4,7,6,8
"7",1,0,0,0,1,0,1,0,1,2,3,4,5,6,7,8
"8",0,0,0,0,0,0,0,0,1,2,3,4,5,6,8,7
"9",1,0,0,1,0,1,0,0,3,1,2,4,5,6,7,8
"10",0,1,0,1,1,0,1,1,1,2,4,3,5,6,8,7
"11",0,0,0,0,0,0,1,0,2,1,3,4,5,6,8,7
"12",0,0,0,1,1,0,1,0,1,2,3,4,5,6,7,8
"13",1,1,1,0,1,0,0,1,2,1,4,3,6,5,8,7
"14",1,1,1,0,1,0,1,0,2,1,4,3,6,5,8,7
"15",1,0,1,1,1,0,1,1,1,2,3,4,6,7,5,8
"16",1,0,0,0,0,0,0,0,1,2,3,4,5,7,6,8
"17",1,1,0,1,0,1,0,0,2,1,4,3,6,5,8,7
"18",0,0,1,0,0,0,0,0,1,2,3,4,6,7,5,8
"19",1,1,0,1,1,1,0,0,2,1,4,3,6,5,8,7
"20",1,1,0,0,1,1,0,1,2,1,4,3,6,5,8,7
"21",1,0,0,1,0,0,0,0,1,3,2,4,5,6,7,8
"22",0,0,1,0,0,1,0,1,3,1,2,4,6,5,8,7
"23",0,1,0,0,0,1,1,1,2,1,3,5,4,6,8,7
"24",1,0,0,0,0,1,0,0,1,2,4,3,5,7,6,8
"25",0,0,0,1,1,1,1,1,1,2,3,5,4,8,7,6
"26",1,1,0,1,0,1,1,0,2,1,4,3,6,5,8,7
"27",0,1,0,1,1,1,1,1,1,2,3,4,5,6,7,8
"28",0,0,0,0,0,1,0,0,1,2,5,3,4,6,7,8
"29",1,0,1,0,1,1,1,0,1,3,2,4,5,8,6,7
"30",0,0,0,0,0,0,0,1,2,1,4,3,5,6,7,8
"31",1,0,0,1,1,1,0,1,1,2,3,4,5,7,8,6
"32",1,0,1,0,0,0,0,0,1,2,4,3,6,5,7,8
"33",0,0,1,1,0,1,1,1,1,2,3,5,4,7,6,8
"34",1,0,0,0,0,1,1,1,1,2,3,5,4,6,8,7
"35",1,1,0,1,0,1,0,1,2,1,4,3,6,5,8,7
"36",1,0,1,0,1,1,1,1,1,2,3,4,5,7,6,8
"37",1,0,1,0,0,1,0,0,1,2,3,5,6,4,7,8
"38",1,1,0,0,0,1,0,0,2,1,4,3,6,5,8,7
"39",1,1,1,1,1,0,1,1,2,1,4,3,6,5,8,7
"40",1,1,1,0,0,0,0,0,2,1,4,3,6,5,8,7
"41",0,1,1,1,1,1,0,1,1,2,3,4,5,6,7,8
"42",1,1,1,0,1,1,1,0,2,1,4,3,6,5,8,7
"43",0,1,1,1,1,0,0,0,1,2,3,5,8,6,7,4
"44",0,0,0,0,0,0,1,1,2,1,3,4,5,6,8,7
"45",0,0,0,1,1,0,1,1,1,3,2,6,4,7,8,5
"46",1,0,0,1,1,0,1,0,2,1,3,5,4,6,7,8
"47",1,1,0,1,1,0,1,0,2,1,4,3,6,5,8,7
"48",0,0,0,0,0,1,1,1,1,2,4,3,5,6,8,7
"49",1,0,0,0,1,0,1,1,1,2,4,3,6,7,5,8
"50",1,0,1,0,1,0,0,1,1,2,3,5,6,4,7,8
"51",0,1,0,0,1,1,1,0,1,2,3,5,4,6,8,7
"52",0,1,0,1,0,0,0,0,1,2,3,4,6,5,7,8
"53",1,0,1,0,0,0,1,1,1,2,3,4,5,6,7,8
"54",0,1,1,1,0,0,1,1,1,2,3,4,5,7,6,8
"55",1,1,0,1,1,0,1,1,2,1,4,3,6,5,8,7
"56",0,0,1,0,0,1,0,1,1,2,3,4,5,6,8,7
"57",0,0,1,1,1,1,1,0,1,4,2,3,5,6,7,8
"58",0,0,1,1,0,0,0,0,1,2,3,4,5,6,7,8
"59",1,1,1,1,1,0,0,1,2,1,4,3,6,5,8,7
"60",0,1,0,1,1,1,1,0,1,2,3,4,5,7,6,8
"61",0,1,0,0,0,0,0,0,1,3,2,4,5,6,7,8
"62",0,1,0,1,1,0,0,0,1,2,3,4,5,7,6,8
"63",1,1,0,0,0,1,1,0,2,1,4,3,6,5,8,7
