"","descriptor1","descriptor2","party1","party2"
"1",0,1,1,2
"2",1,1,2,1
"3",0,0,1,2
"4",1,0,1,2
"5",0,1,1,2
"6",1,1,2,1
"7",0,0,1,2
"8",1,1,2,1
"9",0,1,1,2
"10",0,0,2,1
"11",1,0,1,2
"12",0,1,1,2
"13",0,1,1,2
"14",0,1,1,2
"15",0,0,1,2
"16",1,1,2,1
"17",1,1,2,1
"18",1,0,1,2
"19",1,0,1,2
"20",0,0,1,2
"21",1,0,1,2
"22",1,1,2,1
"23",1,1,2,1
"24",0,1,1,2
"25",1,0,1,2
"26",1,0,1,2
"27",0,0,1,2
"28",1,1,2,1
"29",1,1,2,1
"30",1,1,2,1
"31",0,1,1,2
"32",1,1,2,1
"33",1,0,1,2
"34",1,1,2,1
"35",0,0,2,1
"36",1,1,2,1
"37",1,0,1,2
"38",0,1,1,2
"39",0,0,1,2
"40",1,0,1,2
"41",1,0,2,1
"42",0,1,1,2
"43",1,1,2,1
"44",1,0,2,1
"45",0,1,1,2
"46",0,0,2,1
"47",1,0,1,2
"48",1,0,1,2
"49",1,1,2,1
"50",0,0,1,2
"51",0,1,1,2
"52",0,1,1,2
"53",1,1,2,1
"54",0,0,1,2
"55",1,1,2,1
"56",1,0,1,2
"57",1,0,1,2
"58",1,1,2,1
"59",0,0,1,2
"60",1,0,2,1
"61",1,0,1,2
"62",0,0,1,2
"63",1,1,2,1
"64",0,0,1,2
"65",0,0,2,1
"66",1,1,2,1
"67",1,0,1,2
"68",0,0,1,2
"69",1,0,1,2
"70",1,0,1,2
"71",0,1,1,2
"72",1,0,1,2
"73",1,0,1,2
"74",0,1,1,2
"75",0,0,1,2
"76",1,1,2,1
"77",1,0,1,2
"78",0,0,1,2
"79",1,0,1,2
"80",0,1,1,2
"81",1,0,1,2
"82",0,1,1,2
"83",1,0,1,2
"84",0,1,1,2
"85",1,0,1,2
"86",1,1,2,1
"87",0,0,1,2
"88",0,1,1,2
"89",0,1,1,2
"90",1,0,1,2
"91",1,0,1,2
"92",0,0,1,2
"93",1,0,1,2
"94",0,0,2,1
"95",0,1,1,2
"96",1,1,2,1
"97",1,0,1,2
"98",0,0,1,2
"99",1,0,1,2
"100",1,1,2,1
