"","descriptor1","descriptor2","party1","party2","party3","party4","party5","party6","party7","party8"
"1",1,1,2,1,4,3,6,5,8,7
"2",1,1,2,1,4,3,6,5,8,7
"3",0,0,1,2,3,6,4,5,8,7
"4",0,0,1,2,5,3,4,6,8,7
"5",0,0,2,1,4,3,5,6,7,8
"6",1,0,1,2,4,3,7,5,6,8
"7",0,0,1,2,3,4,5,6,7,8
"8",0,1,1,2,4,3,5,7,6,8
"9",0,1,1,2,3,4,6,5,8,7
"10",0,0,1,2,3,4,5,6,8,7
"11",1,1,2,1,4,3,6,5,8,7
"12",1,1,2,1,4,3,6,5,8,7
"13",0,0,1,2,3,4,7,5,8,6
"14",1,1,2,1,4,3,6,5,8,7
"15",0,0,1,2,3,4,5,6,7,8
"16",1,1,2,1,4,3,6,5,8,7
"17",1,1,2,1,4,3,6,5,8,7
"18",0,1,1,3,2,5,4,6,8,7
"19",1,1,2,1,4,3,6,5,8,7
"20",0,1,1,2,3,4,5,8,6,7
"21",0,0,1,2,5,3,4,6,8,7
"22",1,0,1,2,4,3,6,7,8,5
"23",1,0,1,2,5,3,4,6,7,8
"24",0,0,1,2,3,5,4,6,7,8
"25",0,1,1,2,4,3,7,5,6,8
"26",1,1,2,1,4,3,6,5,8,7
"27",1,0,1,2,3,4,5,7,6,8
"28",0,1,1,2,3,4,6,7,5,8
"29",1,0,1,2,3,4,5,6,8,7
"30",0,0,2,1,3,5,4,7,8,6
"31",1,0,1,2,3,4,5,6,7,8
"32",1,1,2,1,4,3,6,5,8,7
"33",1,1,2,1,4,3,6,5,8,7
"34",1,0,1,2,3,4,5,7,6,8
"35",1,0,1,2,3,6,5,7,4,8
"36",1,1,2,1,4,3,6,5,8,7
"37",0,1,1,2,3,4,6,8,7,5
"38",0,1,1,2,3,4,5,7,8,6
"39",0,0,2,1,3,4,5,6,7,8
"40",0,0,2,3,1,7,4,6,8,5
"41",0,1,1,2,4,3,5,7,8,6
"42",1,1,2,1,4,3,6,5,8,7
"43",1,0,1,2,4,3,6,8,5,7
"44",1,0,1,2,3,4,5,6,8,7
"45",1,0,1,2,4,3,5,7,6,8
"46",0,0,1,2,3,4,6,5,7,8
"47",1,0,1,2,3,6,4,5,8,7
"48",0,0,1,2,3,4,7,5,6,8
"49",0,1,1,2,4,3,6,5,7,8
"50",1,0,1,2,3,4,5,6,8,7
"51",1,1,2,1,4,3,6,5,8,7
"52",1,1,2,1,4,3,6,5,8,7
"53",1,1,2,1,4,3,6,5,8,7
"54",0,1,1,2,4,3,5,8,6,7
"55",0,0,1,3,2,4,5,6,7,8
"56",0,0,1,2,4,6,3,7,5,8
"57",1,1,2,1,4,3,6,5,8,7
"58",1,1,2,1,4,3,6,5,8,7
"59",0,0,2,1,3,6,5,7,4,8
"60",1,1,2,1,4,3,6,5,8,7
"61",1,0,1,2,3,4,5,6,7,8
"62",1,0,1,2,3,4,7,5,6,8
"63",0,1,1,2,3,4,5,7,6,8
"64",1,1,2,1,4,3,6,5,8,7
"65",0,1,1,2,3,4,5,7,6,8
"66",1,0,1,2,3,4,6,5,7,8
"67",0,1,1,2,3,4,6,7,5,8
"68",0,0,2,1,3,4,5,6,7,8
"69",1,0,1,3,2,4,5,6,7,8
"70",1,1,2,1,4,3,6,5,8,7
"71",1,0,1,2,3,4,8,6,5,7
"72",1,1,2,1,4,3,6,5,8,7
"73",1,1,2,1,4,3,6,5,8,7
"74",1,1,2,1,4,3,6,5,8,7
"75",0,0,1,3,2,4,5,6,8,7
"76",1,1,2,1,4,3,6,5,8,7
"77",1,0,1,2,3,4,6,8,5,7
"78",1,1,2,1,4,3,6,5,8,7
"79",1,0,1,3,2,5,4,6,7,8
"80",0,0,1,3,2,4,6,8,7,5
"81",1,1,2,1,4,3,6,5,8,7
"82",0,1,1,2,4,3,6,5,7,8
"83",1,1,2,1,4,3,6,5,8,7
"84",1,0,1,2,3,4,6,5,7,8
"85",0,0,1,3,2,5,4,6,7,8
"86",0,0,1,2,3,5,4,6,7,8
"87",1,1,2,1,4,3,6,5,8,7
"88",1,0,1,2,3,6,4,8,5,7
"89",1,1,2,1,4,3,6,5,8,7
"90",1,0,1,2,3,4,5,6,7,8
"91",0,0,2,1,3,5,6,4,7,8
"92",0,0,1,2,3,4,5,6,7,8
"93",1,1,2,1,4,3,6,5,8,7
"94",0,1,1,4,2,3,5,6,8,7
"95",0,0,1,3,2,4,6,5,8,7
"96",1,0,1,2,3,4,5,6,7,8
"97",0,0,1,3,2,4,5,6,7,8
"98",0,0,2,1,3,7,4,5,6,8
"99",1,0,1,2,3,4,5,6,7,8
"100",0,1,1,2,3,7,4,8,6,5
