"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","party1","party2"
"1",0,0,0,1,1,1,1,1,1,2
"2",1,1,1,1,1,1,0,0,2,1
"3",1,1,0,0,1,1,0,0,2,1
"4",1,1,1,1,0,0,0,1,2,1
"5",0,0,0,1,0,1,1,1,1,2
"6",1,1,0,1,1,1,0,0,2,1
"7",1,1,0,1,0,1,1,1,2,1
"8",0,1,0,0,1,1,1,0,1,2
"9",0,0,1,0,0,1,1,1,1,2
"10",0,0,1,1,1,0,1,0,1,2
"11",1,1,0,1,1,1,0,1,2,1
"12",0,0,1,1,1,1,0,1,1,2
"13",0,0,1,0,1,0,1,0,1,2
"14",1,1,0,1,1,1,1,1,2,1
"15",1,1,0,1,1,0,0,1,2,1
"16",0,0,1,1,1,0,1,0,1,2
"17",1,0,0,0,0,1,1,0,1,2
"18",1,0,1,1,0,0,1,0,1,2
"19",1,1,0,1,0,1,1,1,2,1
"20",1,0,0,0,1,1,0,1,1,2
"21",1,1,0,0,1,0,0,1,2,1
"22",0,1,0,0,0,0,0,0,1,2
"23",1,1,0,1,0,0,1,0,2,1
"24",1,0,1,0,0,0,0,0,1,2
"25",0,1,0,1,1,1,0,0,1,2
"26",0,0,0,0,0,1,1,0,1,2
"27",0,0,0,1,0,0,0,0,1,2
"28",0,0,0,0,0,1,0,0,1,2
"29",1,0,0,1,0,0,1,0,1,2
"30",0,1,0,1,0,1,0,1,1,2
"31",1,1,1,1,0,0,1,0,2,1
"32",1,1,0,1,1,1,1,1,2,1
"33",0,0,0,1,1,1,1,1,2,1
"34",1,1,1,0,1,1,1,0,2,1
"35",0,1,1,0,1,1,0,1,1,2
"36",0,1,0,1,0,0,0,0,1,2
"37",0,1,0,1,0,1,1,0,1,2
"38",0,0,1,1,0,0,0,1,1,2
"39",1,0,0,0,1,1,0,0,1,2
"40",1,1,1,1,0,1,1,0,2,1
"41",1,1,0,0,1,0,0,1,2,1
"42",1,1,1,1,0,0,0,1,2,1
"43",0,1,0,0,1,0,1,0,1,2
"44",1,1,0,0,0,1,0,1,2,1
"45",1,1,1,1,0,1,0,0,2,1
"46",1,1,0,0,1,1,0,1,2,1
"47",0,0,0,1,1,1,1,1,1,2
"48",0,0,0,1,1,1,0,1,1,2
"49",0,0,1,0,1,0,1,0,1,2
"50",1,0,0,1,0,1,1,0,1,2
"51",1,1,0,0,1,1,0,1,2,1
"52",0,0,1,0,0,0,1,1,1,2
"53",0,1,1,1,0,0,1,1,1,2
"54",0,0,1,1,0,1,1,0,1,2
"55",1,0,0,1,0,1,1,1,1,2
"56",0,1,0,0,0,1,0,0,1,2
"57",1,1,1,1,0,0,1,1,2,1
"58",0,1,0,0,0,0,0,1,1,2
"59",1,1,1,1,0,1,0,1,2,1
"60",0,0,0,1,1,1,1,0,1,2
"61",1,0,0,1,1,1,0,1,1,2
"62",0,0,0,1,1,1,1,0,1,2
"63",0,0,0,0,0,0,0,1,1,2
"64",1,0,1,0,1,0,0,1,1,2
"65",0,0,1,0,1,1,1,0,1,2
"66",1,1,0,1,0,1,1,1,2,1
"67",1,0,0,0,1,0,0,1,1,2
"68",1,1,0,0,0,0,1,0,2,1
"69",1,0,0,0,1,0,0,1,2,1
"70",0,0,1,1,0,0,0,0,1,2
"71",0,1,0,1,0,0,0,1,1,2
"72",1,0,1,0,1,0,1,1,1,2
"73",1,1,1,1,1,1,0,0,2,1
"74",0,0,1,0,1,0,1,1,1,2
"75",1,0,0,1,0,1,0,0,1,2
"76",0,0,0,1,0,1,0,1,1,2
"77",0,1,0,1,1,1,0,0,1,2
"78",1,0,1,0,0,1,0,0,1,2
"79",1,1,0,1,0,1,0,1,2,1
"80",1,0,0,1,0,1,1,0,1,2
"81",1,1,1,1,0,0,0,1,2,1
"82",1,1,0,1,0,0,0,0,2,1
"83",1,1,1,1,0,0,1,1,2,1
"84",0,0,1,0,1,0,1,1,1,2
"85",1,1,1,1,0,0,0,1,2,1
"86",0,0,0,1,0,0,1,0,1,2
"87",1,0,1,0,1,1,1,0,1,2
"88",0,1,0,0,1,0,1,0,1,2
"89",1,1,0,1,1,0,1,1,2,1
"90",1,0,0,0,0,0,1,0,1,2
"91",1,1,1,1,1,1,0,0,2,1
"92",1,1,0,0,1,1,1,0,2,1
"93",1,0,0,1,1,1,0,1,1,2
"94",1,1,1,0,0,1,1,0,2,1
"95",0,0,1,0,1,0,1,1,1,2
"96",0,0,0,0,1,0,1,0,1,2
"97",1,1,0,0,0,1,0,1,2,1
"98",0,0,0,1,0,0,1,0,1,2
"99",0,1,1,0,1,1,1,1,1,2
"100",1,1,0,0,0,0,0,0,2,1
