"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","party12","party13","party14","party15","party16","party17","party18","party19","party20","party21","party22","party23","party24","party25","party26","party27","party28","party29","party30","party31","party32"
"1",0,1,0,0,0,0,0,0,1,2,4,3,5,6,8,7,9,13,10,27,14,12,11,17,16,15,32,19,20,29,18,30,24,22,23,28,31,21,26,25
"2",1,1,1,1,1,1,0,0,2,1,4,3,6,5,8,7,10,9,12,11,14,13,16,15,18,17,20,19,22,21,24,23,26,25,28,27,30,29,32,31
"3",0,0,1,0,0,1,1,0,1,2,3,5,4,6,7,31,12,8,10,32,9,11,28,29,30,13,23,14,20,27,16,19,26,24,18,15,17,25,21,22
"4",1,0,1,0,0,0,1,1,1,2,3,4,6,5,7,12,10,8,11,9,31,14,13,15,17,16,19,23,32,21,22,18,29,30,24,20,26,25,27,28
"5",0,0,0,0,0,1,1,1,1,2,3,5,4,6,7,8,9,11,13,16,14,10,12,31,17,15,32,22,30,29,23,25,28,21,18,27,20,19,26,24
"6",1,0,0,0,1,1,1,0,1,3,2,4,5,6,7,8,9,10,31,32,12,14,11,13,18,15,29,23,16,26,30,17,27,21,20,25,28,19,22,24
"7",1,0,0,1,1,0,1,1,1,3,2,4,5,6,7,10,12,8,9,11,32,14,17,18,21,28,20,13,26,16,29,15,24,31,25,22,19,30,23,27
"8",1,1,1,1,1,1,0,1,2,1,4,3,6,5,8,7,10,9,12,11,14,13,16,15,18,17,20,19,22,21,24,23,26,25,28,27,30,29,32,31
"9",1,1,0,1,1,1,1,0,2,1,4,3,6,5,8,7,10,9,12,11,14,13,16,15,18,17,20,19,22,21,24,23,26,25,28,27,30,29,32,31
"10",0,0,0,0,1,1,0,0,1,2,4,3,6,5,7,8,15,31,29,10,11,9,32,14,19,12,17,28,16,13,24,30,26,27,21,25,20,18,22,23
"11",0,0,1,0,1,0,0,0,1,3,2,4,7,5,6,8,9,10,11,17,12,20,13,29,32,14,16,31,15,28,19,27,24,23,18,30,25,21,22,26
"12",0,1,1,1,1,1,1,1,2,1,5,3,4,6,28,11,7,8,9,10,32,12,13,14,31,30,17,23,20,16,26,21,25,29,19,15,27,22,18,24
"13",0,0,0,0,0,0,1,0,1,2,3,4,5,8,6,7,10,13,9,32,11,31,16,12,14,17,15,18,21,26,30,29,25,19,22,20,23,28,27,24
"14",0,0,1,0,0,1,0,1,1,2,3,4,6,5,9,7,8,12,10,11,30,13,32,24,15,31,16,20,14,19,29,18,17,21,25,23,26,27,28,22
"15",0,0,1,0,0,0,0,1,1,2,3,4,6,5,7,8,32,11,13,9,14,12,10,21,15,19,23,17,27,18,30,16,29,31,22,25,28,24,20,26
"16",1,1,1,1,0,1,0,1,2,1,4,3,6,5,8,7,10,9,12,11,14,13,16,15,18,17,20,19,22,21,24,23,26,25,28,27,30,29,32,31
"17",0,0,0,0,1,0,1,0,1,2,3,4,5,7,8,6,32,9,29,14,31,12,10,11,13,18,28,30,20,27,16,25,26,17,22,15,21,23,19,24
"18",1,1,0,0,1,0,1,1,2,1,4,3,6,5,8,7,10,9,12,11,14,13,16,15,18,17,20,19,22,21,24,23,26,25,28,27,30,29,32,31
"19",1,0,1,1,0,0,0,0,1,2,3,4,5,32,7,6,8,12,9,10,26,17,16,11,29,30,15,13,31,14,18,27,25,24,20,21,28,19,23,22
"20",0,1,1,1,0,1,1,1,1,2,3,4,6,5,8,7,11,12,16,10,9,29,14,18,13,19,31,17,15,27,23,32,22,20,24,30,28,26,25,21
"21",0,0,1,0,0,1,0,0,1,3,2,4,5,6,9,11,7,12,8,10,32,15,18,13,16,21,14,28,31,19,25,26,17,30,27,20,22,29,24,23
"22",0,1,0,0,1,0,0,1,1,3,2,4,6,9,5,24,7,11,8,30,12,10,13,14,31,16,32,26,15,18,27,17,21,19,29,25,28,20,22,23
"23",1,0,1,0,1,0,1,1,1,2,3,4,5,6,7,9,27,10,8,13,29,30,32,11,26,12,14,15,28,24,31,25,17,23,20,19,16,21,18,22
"24",0,1,0,0,0,0,0,0,1,2,3,5,11,4,6,7,10,9,12,8,15,13,14,24,29,28,17,27,18,16,30,32,23,19,31,25,20,26,21,22
"25",1,0,1,1,1,0,1,0,1,2,3,4,5,6,7,10,8,31,9,15,13,12,32,11,19,30,16,14,29,17,21,18,25,22,28,26,23,24,20,27
"26",0,0,1,0,1,0,1,0,1,2,3,4,5,7,6,10,9,8,11,12,13,32,14,22,15,31,30,18,16,29,19,28,17,23,20,26,27,21,24,25
"27",0,1,1,0,0,0,0,0,1,2,4,3,8,5,6,10,7,11,9,32,12,18,30,31,13,15,14,16,23,29,28,26,17,27,19,22,21,20,25,24
"28",0,1,1,1,1,1,0,1,1,3,2,4,5,6,7,11,12,8,9,10,18,29,13,14,21,32,19,15,16,31,30,27,23,22,17,26,28,20,25,24
"29",0,0,1,1,0,1,0,0,1,3,2,5,4,7,6,10,9,12,8,13,32,11,15,14,23,22,17,31,18,16,29,30,25,28,27,19,21,26,20,24
"30",0,0,0,0,1,1,0,1,1,2,3,5,4,8,6,11,10,7,9,29,31,12,17,13,14,32,27,15,19,16,28,20,18,23,30,24,25,21,26,22
"31",0,1,0,1,1,1,0,1,1,2,3,4,6,5,8,7,10,9,14,31,13,12,32,11,17,30,15,29,18,28,25,20,16,24,27,19,21,22,26,23
"32",1,1,1,0,0,1,1,0,2,1,4,3,6,5,8,7,10,9,12,11,14,13,16,15,18,17,20,19,22,21,24,23,26,25,28,27,30,29,32,31
"33",1,0,1,1,0,1,1,1,1,2,3,4,5,6,10,12,13,7,11,9,15,14,8,21,19,16,23,17,20,22,18,25,28,31,30,32,24,26,27,29
"34",1,1,1,1,0,1,0,0,2,1,4,3,6,5,8,7,10,9,12,11,14,13,16,15,18,17,20,19,22,21,24,23,26,25,28,27,30,29,32,31
"35",0,0,1,0,1,0,0,1,1,3,2,4,5,6,9,7,8,10,13,11,31,12,28,30,17,14,32,18,15,19,22,20,29,16,25,27,21,26,24,23
"36",0,0,0,1,0,0,0,1,1,2,3,4,5,7,6,11,8,10,9,13,17,14,12,32,15,31,25,30,16,29,22,28,20,23,18,26,19,24,27,21
"37",0,1,0,1,1,0,0,1,1,2,3,4,12,6,5,7,8,13,11,9,14,10,25,27,29,31,30,17,32,28,21,15,23,20,18,26,16,24,19,22
"38",0,0,0,0,1,1,1,0,1,2,3,4,5,7,32,6,8,10,9,14,12,11,31,13,17,18,15,27,24,23,29,21,16,30,19,26,28,25,22,20
"39",0,1,0,0,0,1,0,0,1,2,3,7,4,6,8,9,5,32,12,31,29,11,14,19,10,13,30,15,18,20,27,17,28,16,21,23,22,26,25,24
"40",1,1,1,0,0,0,0,0,2,1,4,3,6,5,8,7,10,9,12,11,14,13,16,15,18,17,20,19,22,21,24,23,26,25,28,27,30,29,32,31
"41",0,0,0,0,1,1,1,0,1,2,3,4,5,6,8,16,7,9,14,10,13,11,32,12,30,25,15,17,29,31,24,18,23,20,28,19,21,22,26,27
"42",1,0,1,0,1,0,1,0,1,2,4,3,5,6,15,7,32,9,12,11,10,31,8,13,16,30,28,27,23,14,26,17,19,29,24,18,20,22,25,21
"43",0,1,1,0,1,1,1,0,1,2,3,4,7,6,5,31,8,10,32,17,9,15,25,12,30,14,13,11,26,28,16,29,19,27,24,22,21,20,18,23
"44",1,1,1,1,0,0,1,0,2,1,4,3,6,5,8,7,10,9,12,11,14,13,16,15,18,17,20,19,22,21,24,23,26,25,28,27,30,29,32,31
"45",0,0,1,0,0,0,1,1,1,2,3,5,4,6,14,7,32,9,8,10,19,12,11,31,13,15,22,18,17,16,26,20,30,21,29,24,25,27,23,28
"46",0,0,0,0,0,1,0,0,1,2,3,6,4,5,8,10,7,9,11,12,32,13,18,24,31,19,14,22,16,17,30,15,29,23,28,25,20,27,26,21
"47",0,1,0,0,1,1,1,0,1,2,3,7,4,5,6,8,9,10,21,20,15,13,25,12,14,11,16,17,32,24,18,19,31,22,28,26,29,27,30,23
"48",1,1,0,0,0,0,1,0,2,1,4,3,6,5,8,7,10,9,12,11,14,13,16,15,18,17,20,19,22,21,24,23,26,25,28,27,30,29,32,31
"49",1,0,1,0,0,1,1,1,1,2,3,4,5,6,8,7,15,9,12,10,16,13,14,17,26,32,23,18,20,21,11,29,24,28,27,22,30,31,19,25
