Number of rows,Number of descriptors,Number of targets,Average position,Miss rate,Average Duration (s)
1000.0,2.0,2.0,1.0,0.0,0.11
1000.0,2.0,32.0,1.0,0.0,0.29
1000.0,2.0,8.0,1.0,0.0,0.14
1000.0,32.0,2.0,1.0,0.0,17.32
1000.0,32.0,32.0,1.0,0.0,45.9
1000.0,32.0,8.0,1.0,0.0,24.26
1000.0,8.0,2.0,1.0,0.0,2.18
1000.0,8.0,32.0,1.0,0.0,5.59
1000.0,8.0,8.0,1.0,0.0,2.98
100.0,2.0,2.0,1.0,0.0,0.02
100.0,2.0,32.0,1.0,0.0,0.02
100.0,2.0,8.0,1.0,0.0,0.02
100.0,32.0,2.0,1.0,0.0,5.35
100.0,32.0,32.0,1.0,0.0,5.8
100.0,32.0,8.0,1.0,0.0,5.43
100.0,8.0,2.0,1.0,0.0,0.73
100.0,8.0,32.0,1.0,0.0,0.73
100.0,8.0,8.0,1.0,0.0,0.73
500.0,2.0,2.0,1.0,0.0,0.05
500.0,2.0,32.0,1.0,0.0,0.11
500.0,2.0,8.0,1.0,0.0,0.07
500.0,32.0,2.0,1.0,0.0,10.12
500.0,32.0,32.0,1.0,0.0,17.64
500.0,32.0,8.0,1.0,0.0,12.0
500.0,8.0,2.0,1.0,0.0,1.28
500.0,8.0,32.0,1.0,0.0,2.25
500.0,8.0,8.0,1.0,0.0,1.51
