nrows,ndescs,ntargets,none,sqrtnN,entropy,norm,labelwise,pairwise
100,2,2,0,0.02,0.03,0.01,0.01,0.01
100,2,8,0,0.02,0.02,0.02,0.02,0.02
100,2,32,0.06,0.02,0.02,0.17,0.17,0.17
100,8,2,0.04,0.76,0.77,0.5,0.49,0.47
100,8,8,0.04,0.73,0.72,0.69,0.68,0.67
100,8,32,0.11,0.8,0.79,3.98,3.52,3.58
100,32,2,0.33,5.8,5.6,3.35,3.33,3.3
100,32,8,0.35,5.92,5.85,4.83,4.97,4.91
100,32,32,0.41,6.1,5.96,32.13,27.61,28.39
500,2,2,0.01,0.05,0.06,0.01,0.02,0.02
500,2,8,0.03,0.06,0.06,0.07,0.06,0.06
500,2,32,0.31,0.08,0.08,0.81,0.82,0.96
500,8,2,0.09,1.08,1.09,0.5,0.49,0.49
500,8,8,0.12,1.14,1.15,1.36,1.34,1.35
500,8,32,0.46,1.39,1.38,14.54,13.74,14.63
500,32,2,1.04,9.62,10.02,5.4,5.33,5.02
500,32,8,1.18,9.28,9.19,9.97,9.94,10.06
500,32,32,2.25,17.44,18.06,132.76,114.61,109.22
1000,2,2,0.03,0.1,0.1,0.02,0.02,0.02
1000,2,8,0.07,0.16,0.15,0.16,0.16,0.16
1000,2,32,1.07,0.24,0.29,2.04,1.99,2
1000,8,2,0.16,2.06,2.04,0.61,0.61,0.62
1000,8,8,0.25,3.13,3.24,4.1,3.73,3.8
1000,8,32,1.39,3.91,3.56,32.62,30.97,42.48
1000,32,2,1.56,27.3,28.93,12.02,10.93,12.4
1000,32,8,2.34,18.21,19.07,21.34,18.66,18.23
1000,32,32,5.43,31.81,31.16,294.23,317.19,293.12
