"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","party1","party2","party3","party4","party5","party6","party7","party8"
"1",0,0,0,1,1,1,1,1,1,2,3,4,6,5,8,7
"2",1,1,1,1,0,0,1,1,8,7,6,5,4,3,2,1
"3",1,0,0,0,0,0,1,1,1,2,3,4,6,5,7,8
"4",1,0,1,0,1,1,1,1,1,2,4,3,5,6,7,8
"5",0,1,1,0,0,0,0,0,2,1,3,4,5,8,7,6
"6",0,1,1,1,1,1,1,0,1,2,3,4,5,6,8,7
"7",1,1,1,1,0,0,0,0,8,7,6,5,4,3,2,1
"8",1,1,0,0,0,1,0,1,8,7,6,5,4,3,2,1
"9",0,1,1,0,0,0,0,1,1,2,3,4,5,6,7,8
"10",1,0,0,1,1,0,1,1,1,2,4,3,6,5,7,8
"11",1,1,1,1,1,1,1,1,8,7,6,5,4,3,2,1
"12",0,1,0,0,0,1,0,0,1,2,3,5,6,4,8,7
"13",1,0,1,1,1,0,1,1,2,1,4,3,5,6,7,8
"14",1,0,1,0,1,0,1,1,1,2,3,4,5,8,6,7
"15",0,0,1,1,0,1,0,1,1,2,3,4,6,7,5,8
"16",1,0,1,1,1,1,0,1,1,2,3,4,5,6,7,8
"17",1,1,1,0,0,1,1,0,8,7,6,5,4,3,2,1
"18",1,0,0,0,0,0,0,0,1,2,5,3,4,6,7,8
"19",0,1,1,0,0,1,1,1,1,2,4,3,5,8,7,6
"20",1,0,0,0,1,1,1,0,1,2,4,3,6,7,5,8
"21",1,1,0,1,0,0,1,0,8,7,6,5,4,3,2,1
"22",0,1,0,1,1,0,1,1,1,2,3,5,4,6,7,8
"23",0,1,1,1,1,1,1,1,1,2,3,4,5,7,6,8
"24",0,0,0,1,0,1,1,0,1,2,4,3,5,7,8,6
"25",0,0,0,0,1,1,1,0,1,2,3,6,5,4,8,7
"26",0,0,1,0,1,0,0,0,1,2,4,3,6,5,8,7
"27",0,1,1,1,0,1,0,0,2,1,3,4,5,7,6,8
"28",0,0,1,1,1,0,0,1,2,1,3,4,6,5,7,8
"29",0,1,1,0,1,0,1,0,1,2,4,3,5,8,6,7
"30",1,0,0,0,0,0,0,0,1,2,3,5,4,7,8,6
"31",1,0,1,0,1,0,0,1,2,1,3,4,6,5,7,8
"32",1,1,0,0,1,1,0,1,8,7,6,5,4,3,2,1
"33",1,1,0,0,0,1,0,1,8,7,6,5,4,3,2,1
"34",1,1,1,0,0,0,0,1,8,7,6,5,4,3,2,1
"35",0,1,0,0,1,1,1,1,1,2,4,3,5,6,8,7
"36",0,1,1,0,1,1,1,0,1,2,4,3,5,6,7,8
"37",0,0,0,1,0,1,1,0,2,3,1,5,4,6,7,8
"38",1,1,1,0,1,1,1,0,8,7,6,5,4,3,2,1
"39",0,1,0,0,1,0,0,1,2,1,4,5,3,6,8,7
"40",0,1,1,0,0,0,1,1,1,2,3,4,5,7,6,8
"41",1,1,1,1,0,1,1,0,8,7,6,5,4,3,2,1
"42",1,1,1,0,1,1,1,0,8,7,6,5,4,3,2,1
"43",0,0,0,1,1,0,0,1,1,3,2,5,7,4,6,8
"44",0,0,0,1,0,1,1,0,1,2,3,4,5,7,8,6
"45",1,0,1,1,1,1,1,0,1,2,3,4,8,5,7,6
"46",0,1,1,1,0,1,0,1,1,2,4,3,5,8,6,7
"47",1,1,1,0,1,0,0,0,8,7,6,5,4,3,2,1
"48",1,0,1,0,0,0,0,0,1,3,2,4,5,6,8,7
"49",1,1,0,0,1,1,0,0,8,7,6,5,4,3,2,1
"50",1,1,0,1,1,0,0,1,8,7,6,5,4,3,2,1
"51",1,0,1,1,1,1,1,1,1,3,2,5,4,6,7,8
"52",1,1,1,0,1,0,1,1,8,7,6,5,4,3,2,1
"53",0,0,0,0,1,1,1,1,1,2,3,4,7,6,5,8
"54",0,1,0,1,0,1,1,0,1,2,3,4,5,6,7,8
"55",1,1,1,1,1,0,1,1,8,7,6,5,4,3,2,1
"56",1,0,0,1,0,1,1,1,1,2,3,4,5,6,8,7
"57",1,0,0,0,1,1,0,1,1,2,4,3,6,5,8,7
"58",0,1,1,0,1,1,1,0,1,3,2,4,6,5,8,7
"59",1,0,1,1,1,1,1,0,1,2,3,4,5,6,8,7
"60",1,1,1,0,0,1,1,0,8,7,6,5,4,3,2,1
"61",0,0,1,1,0,1,1,1,1,2,3,4,5,7,6,8
"62",1,0,1,1,0,0,1,1,1,2,4,3,6,5,7,8
"63",0,0,0,0,0,0,0,1,1,3,2,5,4,6,7,8
"64",0,1,1,1,1,0,1,1,1,2,3,4,5,8,7,6
"65",1,1,1,1,0,0,1,0,8,7,6,5,4,3,2,1
"66",1,0,0,0,1,1,1,0,1,3,2,4,6,7,5,8
"67",0,1,1,0,1,0,0,1,2,1,3,4,5,6,8,7
"68",1,1,0,1,1,1,1,1,8,7,6,5,4,3,2,1
"69",1,0,0,0,1,0,0,0,1,4,2,3,7,8,5,6
"70",0,1,1,1,0,0,0,0,1,2,4,3,5,7,6,8
"71",0,0,0,0,1,0,1,1,1,2,3,6,4,5,7,8
"72",1,0,0,1,0,1,1,1,1,2,3,5,4,6,8,7
"73",0,1,0,0,1,0,1,0,1,2,3,4,5,6,8,7
"74",0,0,0,1,0,0,1,0,2,1,4,3,5,8,6,7
"75",0,0,0,1,1,1,1,0,1,2,3,4,6,5,7,8
"76",1,1,1,1,0,0,0,0,8,7,6,5,4,3,2,1
"77",1,1,1,0,1,1,0,0,8,7,6,5,4,3,2,1
"78",1,1,1,1,0,0,0,1,8,7,6,5,4,3,2,1
"79",0,1,0,1,1,1,1,1,1,2,3,6,4,7,5,8
"80",0,0,1,0,1,1,1,1,1,2,4,3,5,6,8,7
"81",0,0,1,0,1,1,1,1,1,2,3,5,4,6,8,7
"82",0,0,0,1,1,0,0,0,1,2,3,5,4,8,6,7
"83",1,0,0,0,1,1,0,1,1,2,3,5,7,4,6,8
"84",0,1,1,1,0,0,0,0,1,2,3,7,5,4,6,8
"85",0,1,0,0,0,1,1,1,1,2,3,4,5,6,7,8
"86",0,1,0,1,1,0,0,1,1,2,3,6,5,4,7,8
"87",1,1,0,1,1,1,0,0,8,7,6,5,4,3,2,1
"88",1,1,1,0,1,1,0,0,8,7,6,5,4,3,2,1
"89",0,1,0,0,1,1,0,0,1,2,3,5,4,7,6,8
"90",0,0,1,0,1,0,0,1,3,2,1,4,5,8,6,7
"91",1,0,1,0,0,1,0,0,2,1,5,3,4,7,6,8
"92",0,1,1,1,0,1,1,0,1,2,3,4,5,8,6,7
"93",0,0,0,0,0,1,1,1,1,2,3,5,4,8,7,6
"94",1,0,1,0,1,1,0,0,1,2,4,3,5,6,7,8
"95",0,1,1,1,0,0,0,1,1,2,4,3,5,7,6,8
"96",0,0,0,1,1,0,0,1,1,2,3,6,4,5,8,7
"97",0,1,1,1,0,0,1,0,1,2,3,5,4,8,6,7
"98",0,0,1,1,0,0,0,1,1,2,3,4,6,5,8,7
"99",0,1,1,0,0,0,0,0,1,2,3,4,5,6,7,8
