"","descriptor1","descriptor2","party1","party2"
"1",1,0,1,2
"2",1,1,2,1
"3",0,0,1,2
"4",1,0,1,2
"5",1,0,1,2
"6",0,0,1,2
"7",1,1,2,1
"8",1,0,1,2
"9",0,0,1,2
"10",0,0,1,2
"11",0,0,1,2
"12",0,0,1,2
"13",0,1,1,2
"14",0,1,1,2
"15",0,1,1,2
"16",0,1,1,2
"17",1,1,2,1
"18",1,1,2,1
"19",1,1,2,1
"20",1,0,1,2
"21",0,0,1,2
"22",1,0,1,2
"23",0,0,1,2
"24",0,1,1,2
"25",1,1,2,1
"26",0,1,1,2
"27",1,0,1,2
"28",0,1,1,2
"29",0,0,1,2
"30",0,0,1,2
"31",0,1,1,2
"32",1,1,2,1
"33",0,1,1,2
"34",0,0,1,2
"35",1,1,2,1
"36",0,1,1,2
"37",0,0,1,2
"38",0,0,1,2
"39",1,0,1,2
"40",0,0,2,1
"41",0,0,1,2
"42",1,0,1,2
"43",1,1,2,1
"44",1,0,1,2
"45",0,0,1,2
"46",1,0,1,2
"47",1,0,2,1
"48",1,1,2,1
"49",1,0,1,2
"50",0,0,1,2
"51",1,1,2,1
"52",0,1,1,2
"53",0,1,1,2
"54",1,0,1,2
"55",1,0,2,1
"56",0,0,1,2
"57",1,0,1,2
"58",1,0,1,2
"59",0,1,1,2
"60",0,0,1,2
"61",0,1,1,2
"62",1,1,2,1
"63",1,1,2,1
"64",0,0,1,2
"65",1,1,2,1
"66",0,1,1,2
"67",0,0,1,2
"68",1,1,2,1
"69",1,1,2,1
"70",1,1,2,1
"71",0,1,1,2
"72",0,0,1,2
"73",0,0,1,2
"74",0,1,1,2
"75",1,1,2,1
"76",1,1,2,1
"77",0,1,1,2
"78",1,0,1,2
"79",0,1,1,2
"80",0,1,1,2
"81",1,1,2,1
"82",1,0,1,2
"83",0,0,1,2
"84",0,1,1,2
"85",1,1,2,1
"86",0,0,1,2
"87",1,1,2,1
"88",1,1,2,1
"89",1,0,1,2
"90",1,1,2,1
"91",1,1,2,1
"92",0,1,1,2
"93",0,0,1,2
"94",0,0,1,2
"95",1,1,2,1
"96",0,1,1,2
"97",0,0,1,2
"98",1,0,1,2
"99",0,1,1,2
"100",1,0,1,2
