"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","descriptor9","descriptor10","descriptor11","descriptor12","descriptor13","descriptor14","descriptor15","descriptor16","descriptor17","descriptor18","descriptor19","descriptor20","descriptor21","descriptor22","descriptor23","descriptor24","descriptor25","descriptor26","descriptor27","descriptor28","descriptor29","descriptor30","descriptor31","descriptor32","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","party12","party13","party14","party15","party16","party17","party18","party19","party20","party21","party22","party23","party24","party25","party26","party27","party28","party29","party30","party31","party32"
"1",1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"2",1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"3",1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,2,3,4,5,8,6,7,13,11,9,12,10,14,15,16,17,26,29,32,30,18,21,31,19,27,22,23,24,28,25,20
"4",1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"5",1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,2,4,3,5,6,7,15,8,10,13,9,11,12,14,32,31,22,16,21,17,20,30,18,28,19,29,27,23,25,24,26
"6",0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,1,3,2,5,7,6,9,4,10,8,11,12,13,32,15,14,30,29,17,21,31,16,19,20,28,18,26,27,23,25,22,24
"7",1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,2,3,4,5,6,7,9,12,10,11,8,17,14,18,13,32,27,21,15,31,16,19,22,30,25,29,20,23,26,28,24
"8",1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,2,3,6,4,5,8,7,19,9,10,12,31,11,30,15,13,17,32,16,14,18,29,21,22,28,27,23,20,25,26,24
"9",1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,2,3,4,10,5,9,8,6,7,11,31,32,12,28,14,29,21,15,25,27,16,26,17,13,18,24,22,19,30,23,20
"10",1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,2,6,3,4,5,10,7,8,11,9,12,31,13,32,15,14,18,20,17,30,23,25,29,16,19,24,27,21,28,22,26
"11",0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,2,3,4,5,6,12,7,32,8,9,10,11,13,15,14,31,20,27,30,19,25,18,29,26,22,28,17,21,23,16,24
"12",0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,3,2,4,6,5,16,7,11,8,9,13,12,29,10,14,15,30,32,31,21,17,18,19,20,23,24,26,28,22,27,25
"13",0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,3,2,4,5,7,6,8,13,10,32,9,11,30,29,12,15,28,19,14,31,23,18,26,16,27,25,20,17,22,24,21
"14",1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,2,1,3,4,5,10,8,6,7,9,12,30,32,11,13,31,15,14,28,24,29,19,16,23,22,26,27,17,18,25,20,21
"15",0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,2,3,4,5,6,7,9,10,8,11,12,32,15,14,13,17,18,22,30,31,21,16,25,24,27,29,20,28,19,26,23
"16",0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,3,2,4,5,6,7,11,15,14,8,9,10,31,32,13,12,30,17,27,16,18,19,28,24,25,29,26,22,20,23,21
"17",0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2,1,3,4,6,5,7,8,12,9,10,13,11,32,31,15,16,23,14,22,28,17,18,30,20,29,27,24,26,21,19,25
"18",0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,2,3,4,7,5,6,8,15,9,18,10,12,13,11,14,31,32,28,27,29,16,20,30,17,19,22,23,25,21,26,24
"19",0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,2,3,5,4,7,6,12,16,8,9,14,31,10,17,11,15,19,13,32,29,18,30,24,28,20,25,27,26,21,22,23
"20",0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,1,2,3,4,5,6,7,11,8,9,10,31,14,32,12,20,16,13,30,21,15,17,25,18,29,26,19,28,24,23,27,22
"21",0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,5,4,3,6,8,7,10,9,15,12,14,31,11,18,13,20,32,19,16,27,17,30,21,23,24,26,22,28,25,29
"22",0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,2,3,5,4,7,6,12,11,9,8,10,32,14,13,30,27,28,15,17,31,18,21,29,16,25,22,19,20,23,26,24
"23",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"24",0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,2,1,3,4,5,6,7,9,8,10,15,19,12,17,13,18,16,11,14,23,32,29,31,27,30,21,22,26,20,28,25,24
"25",1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,2,3,4,6,5,9,8,7,11,19,10,12,31,32,13,15,14,30,16,24,17,29,28,20,18,27,23,21,26,25,22
"26",1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,2,3,4,5,7,8,6,10,9,26,32,12,31,11,16,28,30,17,14,13,18,19,15,29,20,27,25,24,22,23,21
