"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","party1","party2"
"1",0,0,1,1,0,0,1,1,1,2
"2",1,1,1,0,1,0,1,0,2,1
"3",0,1,1,0,0,0,0,1,1,2
"4",1,0,1,1,0,1,1,1,1,2
"5",1,1,1,0,1,1,1,1,2,1
"6",1,0,0,0,1,1,1,1,1,2
"7",0,0,0,1,1,0,0,1,1,2
"8",0,0,0,1,1,0,1,1,1,2
"9",1,0,0,0,0,1,0,1,1,2
"10",1,1,0,0,1,0,1,0,2,1
"11",1,1,0,0,0,1,0,1,2,1
"12",1,0,1,1,0,1,1,1,2,1
"13",0,1,0,0,1,1,0,0,1,2
"14",1,0,1,0,0,1,0,1,1,2
"15",1,0,0,1,0,0,1,0,1,2
"16",0,1,0,0,1,0,0,0,1,2
"17",1,1,1,0,1,0,1,0,2,1
"18",1,0,1,1,1,1,1,0,1,2
"19",1,1,1,0,1,1,1,1,2,1
"20",0,1,1,1,1,0,1,1,1,2
"21",1,0,1,1,0,1,1,0,1,2
"22",1,0,1,0,0,0,0,0,1,2
"23",1,1,1,0,0,0,1,1,2,1
"24",0,1,0,1,0,0,0,0,1,2
"25",1,1,0,0,0,1,0,0,2,1
"26",1,1,1,1,0,1,1,1,2,1
"27",0,0,0,1,1,1,1,0,1,2
"28",0,1,0,0,0,1,0,0,1,2
"29",1,1,1,0,1,0,0,0,2,1
"30",1,1,0,0,0,0,0,0,2,1
"31",0,1,1,1,1,0,1,0,1,2
"32",0,1,0,0,1,0,0,1,1,2
"33",0,1,0,1,0,0,1,1,1,2
"34",1,0,0,1,0,1,1,0,1,2
"35",0,0,0,0,0,0,1,0,1,2
"36",0,0,1,0,0,0,1,1,1,2
"37",0,0,0,1,0,0,1,1,1,2
"38",0,0,1,1,1,1,1,1,1,2
"39",0,1,1,1,0,0,0,1,2,1
"40",0,1,0,0,0,0,0,0,1,2
"41",1,1,0,0,1,1,1,0,2,1
"42",0,1,0,1,1,0,1,0,1,2
"43",1,1,1,1,0,1,1,0,2,1
"44",1,0,1,1,0,1,0,1,1,2
"45",1,1,0,0,1,0,0,0,2,1
"46",0,0,1,1,1,1,0,0,1,2
"47",1,1,1,1,0,0,0,1,2,1
"48",1,1,0,0,1,1,0,0,2,1
"49",1,1,0,0,0,1,1,0,2,1
"50",1,0,0,1,0,0,0,0,1,2
"51",0,0,0,0,1,0,0,0,1,2
"52",1,0,1,1,0,0,1,0,1,2
"53",0,1,1,1,1,0,1,1,1,2
"54",0,0,0,0,1,0,1,0,1,2
"55",1,0,1,1,1,0,1,0,1,2
"56",1,1,0,1,1,0,0,0,2,1
"57",0,0,0,0,0,1,1,1,1,2
"58",0,1,1,1,1,1,1,1,1,2
"59",0,1,1,1,1,1,0,0,1,2
"60",1,1,1,0,1,1,1,1,2,1
"61",1,0,1,0,0,1,1,0,1,2
"62",1,1,0,1,1,0,1,1,2,1
"63",1,0,0,1,0,0,0,1,1,2
"64",0,0,0,0,1,0,1,1,1,2
"65",0,1,0,1,1,0,0,1,1,2
"66",0,1,0,1,1,0,1,0,1,2
"67",1,1,0,0,1,0,0,0,2,1
"68",0,0,1,1,1,0,1,1,1,2
"69",0,1,0,1,1,1,0,1,1,2
"70",1,1,1,1,0,1,1,0,2,1
"71",0,1,1,1,0,0,1,0,2,1
"72",0,1,0,1,1,0,0,0,1,2
"73",1,1,1,1,1,1,1,0,2,1
"74",1,0,0,0,1,1,1,1,1,2
"75",1,0,1,1,0,0,0,0,1,2
"76",1,0,0,1,1,1,1,0,1,2
"77",1,1,1,0,0,1,1,0,2,1
"78",1,0,1,1,1,1,0,0,1,2
"79",0,1,1,1,1,0,1,0,2,1
"80",1,1,1,0,0,0,0,0,2,1
"81",0,1,0,1,0,0,1,1,1,2
"82",0,0,0,1,0,1,1,0,1,2
"83",1,1,0,1,0,1,1,1,2,1
"84",0,1,0,0,1,1,1,0,1,2
"85",1,1,1,1,1,0,0,0,2,1
"86",1,1,0,1,1,1,1,0,2,1
"87",0,0,0,0,1,1,1,1,1,2
"88",1,0,0,0,0,0,1,0,1,2
"89",0,0,1,0,1,0,1,1,1,2
"90",0,1,1,1,1,1,1,0,1,2
"91",1,0,0,0,1,1,0,0,1,2
"92",1,0,1,0,0,1,1,0,1,2
"93",0,0,1,0,0,0,0,1,1,2
"94",0,1,0,1,1,1,1,1,1,2
"95",1,1,0,1,0,1,1,0,2,1
"96",0,0,0,1,1,0,0,1,1,2
"97",1,1,1,1,1,1,1,1,2,1
"98",0,0,0,0,0,0,0,1,1,2
"99",1,1,1,0,1,0,0,0,2,1
"100",0,1,1,0,0,0,0,1,1,2
