"","descriptor1","descriptor2","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","party12","party13","party14","party15","party16","party17","party18","party19","party20","party21","party22","party23","party24","party25","party26","party27","party28","party29","party30","party31","party32"
"1",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"2",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"3",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"4",0,1,1,2,3,4,5,6,7,8,11,9,10,14,32,31,13,12,15,18,17,16,30,29,26,25,24,28,27,22,20,19,23,21
"5",0,0,1,2,3,4,6,5,7,10,8,9,11,12,14,32,16,17,15,18,13,30,31,20,19,21,29,27,22,26,24,23,25,28
"6",0,0,1,2,4,6,3,5,7,8,12,10,9,11,13,19,16,17,15,14,18,31,30,21,20,22,23,32,29,26,24,27,28,25
"7",0,0,1,2,3,4,7,5,6,8,10,14,12,9,32,13,17,15,11,16,31,29,20,18,21,24,19,26,30,27,28,22,23,25
"8",1,0,1,3,2,4,5,7,6,9,32,23,29,11,8,10,27,12,31,16,28,30,25,13,14,21,17,26,24,15,19,22,18,20
"9",0,1,1,2,3,5,4,6,7,8,9,30,10,15,11,16,32,27,12,14,31,13,28,23,26,22,24,29,18,17,21,25,19,20
"10",0,1,1,3,5,2,6,9,4,7,8,10,11,28,31,12,13,14,18,15,30,32,29,16,17,19,21,25,27,20,23,26,24,22
"11",0,1,2,1,4,3,5,6,31,7,11,8,32,14,10,9,13,12,21,16,17,15,30,24,28,29,18,19,25,23,20,27,22,26
"12",1,0,1,2,3,4,7,8,5,6,32,31,9,10,14,11,13,24,29,12,30,27,22,28,25,17,26,16,18,19,23,15,21,20
"13",0,1,2,3,1,4,6,5,7,8,9,11,10,24,14,16,13,15,12,28,17,32,31,21,22,29,18,26,27,19,30,25,20,23
"14",1,0,1,2,3,5,4,6,7,10,8,12,9,13,11,18,15,14,32,20,16,31,19,22,29,26,17,21,24,27,28,30,25,23
"15",1,0,1,2,3,4,6,5,8,7,14,26,31,32,9,29,28,11,10,12,16,18,30,13,24,15,25,17,27,21,19,20,23,22
"16",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"17",1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"18",0,1,1,3,2,4,5,6,7,10,11,12,8,13,9,15,16,14,32,17,18,20,29,19,31,21,25,30,28,23,27,22,26,24
"19",0,1,1,2,3,4,5,6,8,13,9,10,7,12,14,11,20,32,16,15,17,18,30,31,28,19,29,25,22,24,21,27,23,26
