"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","party12","party13","party14","party15","party16","party17","party18","party19","party20","party21","party22","party23","party24","party25","party26","party27","party28","party29","party30","party31","party32"
"1",0,1,1,1,1,1,0,1,1,2,3,4,5,6,7,8,10,12,11,9,13,14,16,15,31,32,17,19,27,18,30,22,29,24,21,23,20,28,26,25
"2",1,1,1,0,0,0,1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"3",1,1,1,0,0,1,0,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"4",1,0,1,1,0,1,1,0,1,2,3,4,11,5,8,6,32,7,29,16,9,28,12,15,10,30,13,17,27,31,22,20,14,23,19,26,21,25,24,18
"5",0,0,1,0,1,0,1,0,2,1,3,4,6,5,7,10,8,9,11,13,12,31,14,32,26,29,15,30,16,24,22,18,21,28,17,20,23,19,27,25
"6",0,0,0,1,0,0,1,0,1,2,3,4,5,6,8,32,29,10,7,12,9,13,16,31,15,11,19,14,28,18,30,27,23,17,20,26,24,25,22,21
"7",1,1,1,0,0,0,1,0,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"8",1,0,1,1,1,1,1,1,1,2,3,5,4,6,7,10,8,9,32,12,14,11,15,13,25,16,18,17,26,27,31,28,19,22,24,20,30,23,21,29
"9",0,1,0,0,0,1,1,0,1,2,3,4,5,7,6,8,11,9,10,15,13,12,16,19,14,20,28,32,17,18,21,25,22,29,31,27,26,24,23,30
"10",1,1,0,1,1,1,1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"11",1,0,0,0,0,1,0,1,1,2,3,4,6,5,9,7,30,10,12,8,17,11,13,14,32,28,19,31,15,20,16,24,29,18,22,25,21,26,23,27
"12",1,1,0,1,1,0,1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"13",1,1,0,0,1,1,1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"14",0,1,1,0,0,0,0,1,2,1,3,4,5,6,7,9,10,8,13,11,12,32,16,28,15,31,14,20,23,30,24,29,17,27,21,19,22,18,26,25
"15",0,0,0,0,1,0,1,0,1,3,2,4,5,6,7,9,14,8,12,11,13,10,15,30,28,27,32,31,22,29,18,17,16,19,25,23,24,20,21,26
"16",1,1,0,0,1,0,1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"17",1,0,1,0,0,0,1,0,1,2,3,4,6,5,7,8,10,9,16,19,11,12,32,17,13,14,15,31,25,23,21,18,20,30,28,24,27,29,22,26
"18",0,0,0,1,1,0,0,0,1,2,3,4,5,7,8,6,10,9,13,29,12,25,11,32,15,31,14,28,18,24,30,22,27,17,26,23,21,16,19,20
"19",1,1,0,1,1,1,0,0,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"20",0,1,1,1,1,1,1,0,1,3,4,2,7,5,8,9,6,15,16,11,12,10,28,13,14,29,17,19,32,27,18,31,30,22,20,21,26,24,25,23
"21",0,1,1,0,0,1,0,1,1,2,3,5,4,11,6,9,8,10,7,31,12,32,25,24,18,30,13,14,15,29,21,16,20,22,23,28,19,17,26,27
"22",1,1,0,0,0,0,1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"23",0,1,0,1,1,0,1,0,1,4,3,2,5,7,6,9,10,8,12,11,14,13,32,15,24,30,18,20,22,17,19,16,31,26,29,27,23,28,25,21
"24",0,0,0,1,0,0,1,1,2,1,4,3,8,6,5,7,9,11,10,20,12,16,13,14,15,31,23,17,32,19,30,18,28,26,29,22,21,27,24,25
"25",1,1,1,0,1,1,0,0,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"26",1,0,1,0,1,1,0,0,1,2,3,4,5,6,10,8,9,7,18,13,11,32,12,17,14,23,15,24,16,19,30,20,31,27,22,26,28,25,21,29
"27",0,0,1,1,0,0,0,0,1,2,5,3,4,8,7,6,9,10,20,13,11,12,29,15,18,16,14,17,30,19,28,27,22,23,24,31,21,32,25,26
"28",1,1,1,1,1,0,1,1,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
