Number of rows,Number of descriptors,Number of targets,Average position,Miss rate,Average Duration (s)
1000.0,2.0,2.0,1.0,0.0,0.12
1000.0,2.0,32.0,1.0,0.0,0.31
1000.0,2.0,8.0,1.0,0.0,0.15
1000.0,32.0,2.0,1.0,0.0,18.88
1000.0,32.0,32.0,1.0,0.0,46.75
1000.0,32.0,8.0,1.0,0.0,24.68
1000.0,8.0,2.0,1.0,0.0,2.29
1000.0,8.0,32.0,1.0,0.0,5.86
1000.0,8.0,8.0,1.0,0.0,3.17
100.0,2.0,2.0,1.0,0.0,0.02
100.0,2.0,32.0,1.0,0.0,0.02
100.0,2.0,8.0,1.0,0.0,0.02
100.0,32.0,2.0,1.0,0.0,5.45
100.0,32.0,32.0,1.0,0.0,5.95
100.0,32.0,8.0,1.0,0.0,5.73
100.0,8.0,2.0,1.0,0.0,0.74
100.0,8.0,32.0,1.0,0.0,0.79
100.0,8.0,8.0,1.0,0.0,0.7
500.0,2.0,2.0,1.0,0.0,0.06
500.0,2.0,32.0,1.0,0.0,0.11
500.0,2.0,8.0,1.0,0.0,0.07
500.0,32.0,2.0,1.0,0.0,10.52
500.0,32.0,32.0,1.0,0.0,18.85
500.0,32.0,8.0,1.0,0.0,12.57
500.0,8.0,2.0,1.0,0.0,1.37
500.0,8.0,32.0,1.0,0.0,2.34
500.0,8.0,8.0,1.0,0.0,1.58
