RegioNaam,Region code,Total population (nr.),Men (%),Women (%),<5 years old (%),5-9 years old (%),10-14 years old (%),15-19 years old (%),20-24 years old (%),25-44 years old (%),45-64 years old (%),65-79 years old (%),80+ years old  (%),Total demographic pressure (%),Green pressure (%),Grey pressure (%),Unmarried (%),Married (%),Divorced (%),Widowed (%),Dutch background (%),Migration background - any (%),Migration background - western (%),Migration background - any non-western (%),Migration background - Maroccan (%),"Migration background - former Dutch Antilles, Aruba  (%)",Migration background - Suriname (%),Migration background - Turkey (%),Migration background - remaining non-western (%),Population density (people/km2),Single person households (%),Households without children (%),Households with children (%),Average household size (people/household),Total housing stock (nr.),Newly constructed houses (%),Housing density (houses/km2),Owner-occupied houses (%),Rental houses (%),House ownership unknown (%),Average house price (x 1000EUR),Total students (nr.),Students - secondary education (%),Students - bol (%),Students - bbl (%),Students - hbo (%),Students - university (%),Companies (nr.),"Companies by type - agriculture, forestry and fishery (%)",Companies by type - industry and engery (%),Companies by type - trade and catering industry (%),"Companies by type - transport, information and comunication (%)",Companies by type - financial services and real-estate (%),Companies by type - business services (%),"Companies by type - culture, recreation and other (%)",Cattle (nr.),Sheep (nr.),Goats (nr.),Horses (nr.),Pigs (nr.),Chickens (nr.),Turkeys (nr.),Ducks for slaughter (nr.),Other poultry (nr.),Rabbits (nr.),Fur animals (nr.),Cultivated land (are),Cultivated land by type - agriculture (%),"Cultivated land by type - horticulture, open ground (%)","Cultivated land by type - horticulture, under glass (%)",Cultivated land by type - permanent grassland (%),Cultivated land by type - natural grassland (%),Cultivated land by type - temporary grassland (%),Cultivated land by type - green fodder crops (%),Cars (per 1000 inhabitants),Privately owned cars (per 1000 inhabitants),Motorcycles (per 1000 inhabitants),Mopeds (per 1000 inhabitants),Total road length (km),Road owned by municipality (%),Road owned by province (%),Road owned by state (%),Total area (km2),Districts (nr.),Neighbourhoods (nr.),Kiesgerechtigden,Opkomst,OngeldigeStemmen,BlancoStemmen,GeldigeStemmen,VVD,VVD (%),D66,D66 (%),PVV (Partij voor de Vrijheid),PVV (Partij voor de Vrijheid) (%),CDA,CDA (%),SP (Socialistische Partij),SP (Socialistische Partij) (%),Partij van de Arbeid (P.v.d.A.),Partij van de Arbeid (P.v.d.A.) (%),GROENLINKS,GROENLINKS (%),Forum voor Democratie,Forum voor Democratie (%),Partij voor de Dieren,Partij voor de Dieren (%),ChristenUnie,ChristenUnie (%),Volt,Volt (%),JA21,JA21 (%),Staatkundig Gereformeerde Partij (SGP),Staatkundig Gereformeerde Partij (SGP) (%),DENK,DENK (%),50PLUS,50PLUS (%),BBB,BBB (%),BIJ1,BIJ1 (%),CODE ORANJE,CODE ORANJE (%),NIDA,NIDA (%),Splinter,Splinter (%),Piratenpartij,Piratenpartij (%),JONG,JONG (%),Trots op Nederland (TROTS),Trots op Nederland (TROTS) (%),Lijst Henk Krol,Lijst Henk Krol (%),NLBeter,NLBeter (%),"Blanco (Zeven, A.J.L.B.)","Blanco (Zeven, A.J.L.B.) (%)",LP (Libertaire Partij),LP (Libertaire Partij) (%),OPRECHT,OPRECHT (%),JEZUS LEEFT,JEZUS LEEFT (%),DE FEESTPARTIJ (DFP),DE FEESTPARTIJ (DFP) (%),U-Buntu Connected Front,U-Buntu Connected Front (%),Vrij en Sociaal Nederland,Vrij en Sociaal Nederland (%),Partij van de Eenheid,Partij van de Eenheid (%),Wij zijn Nederland,Wij zijn Nederland (%),Partij voor de Republiek,Partij voor de Republiek (%),Modern Nederland,Modern Nederland (%),De Groenen,De Groenen (%)
Groningen,GM0014,232874.0,0.4974277935707721,0.5025722064292278,4.2,4.1,4.1,6.2,15.5,29.6,21.7,11.1,3.6,49.6,27.7,22.0,60.7,27.4,8.0,4.0,75.3,24.7,12.6,12.1,0.5,1.7,1.5,0.8,7.7,1255.0,59.1,22.0,18.9,1.69,116445.0,0.017295719008974194,627.0,41.2,58.1,0.8,207.0,53565.0,0.1795575469056286,0.0947260337907215,0.0215439186035657,0.2982171193876599,0.4059553813124241,20360.0,0.009577603143418467,0.0940569744597249,0.1962180746561886,0.1129666011787819,0.0857072691552062,0.3148330058939096,0.1861493123772102,12813.0,4346.0,167.0,432.0,2.0,99239.0,0.0,0.0,0.0,0.0,0.0,699507.0,9.6,0.5,0.0,73.9,7.7,3.8,4.5,403.0,322.0,27.0,62.0,1073.0,0.8993476234855545,0.0605778191985088,0.0400745573159366,197.96,20.0,150.0,178904,146229,280,235,145714,19897,0.136548307,33442,0.229504372,8254,0.056645209,8155,0.055965796,11076,0.076011914,12164,0.083478595,15278,0.104849225,5401,0.037065759,8744,0.060007961,5762,0.039543215,8042,0.055190304,2200,0.015098069,668,0.004584323,719,0.004934323,794,0.00544903,588.0,0.004035302,1702,0.011680415,419,0.002875496,214,0.00146863,531.0,0.003644125,579,0.003973537,283.0,0.001942161,194.0,0.001331375,100.0,0.000686276,132.0,0.000905884,0.0,0,111,0.000761766,65.0,0.000446079,56.0,0.000384314,62.0,0.000425491,38.0,0.000260785,44.0,0.000301961,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
Almere,GM0034,211893.0,0.4961466400494589,0.503853359950541,6.0,6.2,6.4,6.7,6.2,28.1,28.7,9.7,2.1,58.8,40.2,18.7,41.4,44.2,11.0,3.4,56.2,43.8,10.9,32.9,4.0,2.6,11.5,2.0,12.8,1640.0,32.2,24.5,43.3,2.35,85977.0,0.01552740849296905,666.0,63.9,35.9,0.2,249.0,29444.0,0.4412104333650319,0.2177693248199972,0.0573291672327129,0.2123352805325363,0.0713557940497215,18910.0,0.005023796932839768,0.1501850872554204,0.2086197778952934,0.1388154415653093,0.0676890534108937,0.2940243257535695,0.1356425171866737,1104.0,129.0,47.0,44.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,109962.0,40.7,11.3,3.9,13.5,3.1,16.1,11.4,1288.0,395.0,34.0,72.0,1180.0,0.8898305084745762,0.0372881355932203,0.0720338983050847,248.77,6.0,67.0,152746,109261,339,257,108665,23803,0.219049372,15672,0.144223071,13011,0.119734965,5130,0.047209313,6899,0.063488704,5890,0.054203285,6086,0.056006994,7035,0.064740257,4831,0.044457737,2474,0.02276722,2249,0.020696636,2766,0.025454378,354,0.003257719,3740,0.034417706,1579,0.014530898,284.0,0.002613537,3658,0.033663093,574,0.00528229,873,0.008033866,426.0,0.003920306,432,0.003975521,237.0,0.002181015,0.0,0,132.0,0.001214743,131.0,0.00120554,0.0,0,74,0.000680992,80.0,0.000736208,102.0,0.000938665,0.0,0,101.0,0.000929462,0.0,0,42.0,0.000386509,0.0,0,0.0,0,0.0,0,0.0,0
Stadskanaal,GM0037,31686.0,0.4936880641292684,0.5063119358707315,4.1,4.7,5.2,6.0,5.0,19.9,29.9,18.4,6.9,82.4,36.4,46.1,30.9,50.5,9.6,9.0,92.1,7.9,4.7,3.2,0.1,0.2,0.4,0.1,2.4,269.0,35.5,33.5,31.0,2.14,15292.0,0.00209259743656814,130.0,59.5,39.3,1.3,172.0,3488.0,0.4426605504587156,0.2672018348623853,0.0983371559633027,0.1654243119266055,0.0263761467889908,2430.0,0.06790123456790123,0.1934156378600823,0.2674897119341564,0.0576131687242798,0.0946502057613168,0.1831275720164609,0.1378600823045267,3952.0,520.0,752.0,138.0,2.0,489464.0,0.0,0.0,0.0,0.0,0.0,803837.0,77.6,0.1,0.0,5.4,1.7,9.1,6.1,543.0,525.0,53.0,59.0,436.0,0.9036697247706422,0.0963302752293578,0.0,119.94,5.0,27.0,25742,18693,34,36,18623,2689,0.144391344,1332,0.071524459,2933,0.157493422,2509,0.134725877,2013,0.108092144,1579,0.084787628,389,0.020888149,1410,0.075712828,393,0.021102937,1752,0.094077216,130,0.006980615,260,0.013961231,322,0.017290447,16,0.000859153,199,0.010685711,368.0,0.019760511,22,0.001181335,52,0.002792246,1,5.3697E-05,27.0,0.00144982,31,0.001664608,14.0,0.000751759,59.0,0.003168125,16.0,0.000859153,11.0,0.000590667,0.0,0,0,0,61.0,0.00327552,12.0,0.000644364,15.0,0.000805456,0.0,0,8.0,0.000429576,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
Veendam,GM0047,27384.0,0.4976993865030675,0.5023006134969326,4.1,5.2,5.7,6.0,5.0,21.2,30.0,17.5,5.3,78.0,37.4,40.6,32.8,48.9,10.7,7.6,86.9,13.1,5.4,7.7,0.2,0.5,1.0,3.1,2.8,360.0,34.9,32.3,32.8,2.14,12843.0,0.004827532507981002,169.0,65.0,34.8,0.2,151.0,3203.0,0.4452076178582579,0.2619419294411489,0.0833593506088042,0.1676553231345613,0.0418357789572276,1830.0,0.04644808743169399,0.1885245901639344,0.2677595628415301,0.0628415300546448,0.081967213114754,0.2131147540983606,0.1366120218579235,1469.0,75.0,10.0,27.0,18027.0,234247.0,0.0,0.0,0.0,0.0,0.0,437157.0,84.3,0.6,0.0,6.9,0.0,3.5,4.8,541.0,518.0,54.0,53.0,280.0,0.9,0.0464285714285714,0.0571428571428571,78.68,3.0,17.0,22011,16418,23,33,16362,2817,0.172167217,1692,0.103410341,2507,0.153220878,1237,0.075602005,2044,0.124923603,1795,0.109705415,476,0.029091798,1246,0.07615206,469,0.028663978,489,0.029886322,146,0.008923115,344,0.021024325,69,0.004217088,250,0.015279306,214,0.013079086,228.0,0.013934727,27,0.001650165,81,0.004950495,16,0.000977876,47.0,0.002872509,37,0.002261337,21.0,0.001283462,39.0,0.002383572,7.0,0.000427821,10.0,0.000611172,0.0,0,11,0.000672289,19.0,0.001161227,5.0,0.000305586,14.0,0.000855641,1.0,6.11172E-05,4.0,0.000244469,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
Zeewolde,GM0050,22653.0,0.5109257052046087,0.4890742947953913,5.2,5.8,6.3,7.3,6.5,24.6,31.0,10.3,2.9,61.0,39.6,21.4,35.1,51.9,9.2,3.7,81.6,18.4,12.8,5.6,0.4,0.5,0.7,0.4,3.7,92.0,32.2,29.1,38.7,2.33,8678.0,0.017285088730122147,35.0,70.5,29.4,0.1,265.0,2984.0,0.4906166219839142,0.1813002680965147,0.0586461126005361,0.2101206434316354,0.0593163538873994,2645.0,0.12476370510396975,0.1493383742911153,0.2098298676748582,0.0775047258979206,0.0907372400756143,0.2514177693761815,0.0945179584120983,20775.0,788.0,460.0,285.0,12444.0,509875.0,0.0,54750.0,0.0,0.0,9000.0,1650862.0,55.7,8.5,0.0,7.2,2.2,19.1,7.3,743.0,487.0,47.0,51.0,406.0,0.7463054187192119,0.2463054187192118,0.0049261083743842,268.86,1.0,11.0,16680,13987,22,19,13946,3704,0.26559587,1670,0.119747598,1497,0.107342607,1569,0.112505378,534,0.038290549,442,0.031693676,471,0.033773125,967,0.069338879,410,0.029399111,1033,0.074071418,272,0.0195038,538,0.03857737,243,0.017424351,52,0.003728668,138,0.00989531,190.0,0.013623978,35,0.00250968,57,0.004087193,9,0.000645346,40.0,0.002868206,16,0.001147282,16.0,0.001147282,0.0,0,11.0,0.000788757,12.0,0.000860462,0.0,0,3,0.000215115,9.0,0.000645346,6.0,0.000430231,0.0,0,1.0,7.17051E-05,0.0,0,1.0,7.17051E-05,0.0,0,0.0,0,0.0,0,0.0,0
Achtkarspelen,GM0059,27843.0,0.509284200696764,0.490715799303236,5.1,5.8,6.6,6.9,5.3,22.2,28.2,15.5,4.5,79.4,43.5,35.9,33.8,51.5,8.0,6.7,95.5,4.5,2.3,2.2,0.1,0.1,0.1,0.0,1.9,272.0,30.4,31.4,38.2,2.35,12129.0,0.005523950861571441,119.0,63.8,36.2,0.1,191.0,3588.0,0.4729654403567447,0.2196209587513935,0.0841694537346711,0.1825529542920847,0.0406911928651059,2550.0,0.08235294117647059,0.2686274509803921,0.2549019607843137,0.0568627450980392,0.0607843137254901,0.1588235294117647,0.1156862745098039,15828.0,10612.0,497.0,408.0,18920.0,979136.0,0.0,0.0,0.0,0.0,10200.0,592382.0,1.4,0.3,0.0,82.1,5.6,3.5,7.0,543.0,527.0,45.0,107.0,348.0,0.896551724137931,0.1034482758620689,0.0,103.98,3.0,24.0,21772,16976,20,27,16929,2193,0.129541024,1071,0.063264221,2923,0.172662295,3047,0.179987005,1077,0.063618643,1117,0.065981452,365,0.021560636,1652,0.097584027,356,0.021029003,1603,0.094689586,123,0.007265639,273,0.016126174,351,0.020733652,7,0.000413492,85,0.00502097,418.0,0.024691358,19,0.001122334,67,0.003957706,4,0.000236281,28.0,0.001653967,16,0.000945124,28.0,0.001653967,43.0,0.00254002,10.0,0.000590702,8.0,0.000472562,0.0,0,8,0.000472562,15.0,0.000886054,16.0,0.000945124,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4.0,0.000236281,0.0,0,2.0,0.00011814
Ameland,GM0060,3716.0,0.4959634015069967,0.5040365984930032,4.3,5.3,6.0,4.4,5.9,23.3,27.7,18.4,4.8,75.9,35.1,40.7,36.2,49.9,7.1,6.8,91.9,8.1,6.5,1.6,0.2,0.1,0.1,0.0,1.3,63.0,38.9,31.6,29.4,2.13,1737.0,0.0069084628670120895,29.0,67.8,30.9,1.4,253.0,374.0,0.5454545454545454,0.1470588235294117,0.1657754010695187,0.1310160427807486,0.0106951871657754,555.0,0.08108108108108109,0.1171171171171171,0.3513513513513513,0.063063063063063,0.072072072072072,0.1711711711711711,0.1351351351351351,2366.0,2917.0,7.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180285.0,0.1,0.0,0.0,76.7,22.0,0.5,0.8,512.0,490.0,84.0,149.0,126.0,1.0,0.0,0.0,268.5,1.0,7.0,2935,2893,3,7,2883,753,0.261186264,352,0.12209504,263,0.091224419,453,0.157127992,126,0.043704475,206,0.071453347,93,0.032258065,130,0.045091918,97,0.033645508,60,0.020811655,51,0.017689906,94,0.032604925,9,0.003121748,2,0.000693722,15,0.005202914,132.0,0.04578564,3,0.001040583,11,0.00381547,0,0,8.0,0.002774887,6,0.002081165,4.0,0.001387444,8.0,0.002774887,2.0,0.000693722,2.0,0.000693722,0.0,0,0,0,1.0,0.000346861,0.0,0,0.0,0,0.0,0,2.0,0.000693722,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
Harlingen,GM0072,15722.0,0.5011448925073146,0.4988551074926854,4.2,4.8,5.8,6.6,4.6,19.7,28.8,19.8,5.6,88.2,40.3,47.8,34.4,46.9,11.2,7.5,87.6,12.4,7.6,4.8,0.6,0.2,0.6,0.4,3.1,630.0,39.6,30.7,29.7,2.07,7798.0,0.015388561169530648,312.0,55.3,44.6,0.1,177.0,1945.0,0.4894601542416452,0.2298200514138817,0.0745501285347043,0.1799485861182519,0.0262210796915167,1505.0,0.046511627906976744,0.2093023255813953,0.2259136212624584,0.132890365448505,0.0664451827242525,0.2026578073089701,0.1162790697674418,2342.0,1698.0,8.0,166.0,10898.0,53305.0,0.0,0.0,0.0,0.0,0.0,171224.0,35.3,0.9,0.2,53.4,1.7,4.4,4.1,465.0,445.0,43.0,74.0,144.0,0.9027777777777778,0.0347222222222222,0.0694444444444444,387.67,3.0,12.0,12546,9956,9,20,9927,1956,0.19703838,1101,0.11090964,1285,0.129444948,1202,0.121083913,820,0.082603002,941,0.094791981,338,0.034048554,666,0.067089755,449,0.04523018,347,0.034955173,136,0.01370001,220,0.022161781,62,0.006245593,11,0.001108089,130,0.013095598,79.0,0.007958094,24,0.002417649,33,0.003324267,7,0.000705148,23.0,0.002316913,25,0.002518384,11.0,0.001108089,17.0,0.001712501,8.0,0.000805883,4.0,0.000402941,0.0,0,5,0.000503677,10.0,0.001007354,8.0,0.000805883,0.0,0,0.0,0,4.0,0.000402941,0.0,0,0.0,0,4.0,0.000402941,0.0,0,1.0,0.000100735
Heerenveen,GM0074,50493.0,0.4973956786089161,0.5026043213910839,4.5,5.5,5.8,6.4,5.2,21.7,29.1,16.2,5.6,78.8,39.8,39.0,36.0,47.1,9.9,7.0,87.7,12.3,5.5,6.8,0.7,0.4,0.6,1.1,3.9,266.0,36.1,30.7,33.3,2.18,23528.0,0.012240734444066644,124.0,60.0,39.5,0.6,227.0,6489.0,0.4630913854214825,0.2246879334257975,0.0605640314378178,0.2060409924487594,0.0456156572661427,4860.0,0.06172839506172839,0.1604938271604938,0.2150205761316872,0.0751028806584362,0.0925925925925925,0.279835390946502,0.1152263374485596,36473.0,4504.0,149.0,602.0,1803.0,899747.0,0.0,0.0,0.0,0.0,0.0,1252095.0,2.3,1.1,0.0,72.7,4.8,9.1,10.1,524.0,490.0,47.0,57.0,626.0,0.8801916932907349,0.0527156549520766,0.0686900958466453,198.17,7.0,31.0,39975,32096,61,56,31979,6262,0.195816004,4687,0.146564933,3018,0.094374433,3382,0.105756903,2521,0.078832984,3350,0.104756246,1403,0.043872541,2139,0.066887645,1198,0.037462084,1066,0.033334376,501,0.015666531,576,0.01801182,129,0.004033897,223,0.006973326,255,0.007973983,636.0,0.019888052,76,0.00237656,123,0.003846274,32,0.001000657,88.0,0.002751806,63,0.001970043,55.0,0.001719879,65.0,0.002032584,20.0,0.00062541,31.0,0.000969386,0.0,0,10,0.000312705,27.0,0.000844304,21.0,0.000656681,0.0,0,0.0,0,7.0,0.000218894,0.0,0,0.0,0,13.0,0.000406517,0.0,0,2.0,6.2541E-05
Leeuwarden,GM0080,124084.0,0.4970584442796815,0.5029415557203185,4.8,5.0,5.2,6.3,8.7,25.7,25.9,14.1,4.5,66.2,35.2,31.0,46.3,38.2,10.1,5.4,82.3,17.7,7.9,9.9,0.9,1.3,1.2,0.4,6.1,521.0,47.0,26.3,26.7,1.93,62599.0,0.006661448265946741,263.0,51.2,48.2,0.6,168.0,19997.0,0.3120968145221783,0.1948792318847827,0.0411061659248887,0.3999099864979747,0.0520078011701755,10525.0,0.032304038004750596,0.1353919239904988,0.2247030878859857,0.0902612826603325,0.0783847980997624,0.2755344418052256,0.1643705463182898,38249.0,9309.0,92.0,1162.0,7.0,381402.0,0.0,0.0,0.0,0.0,0.0,1569381.0,5.0,0.0,0.0,80.6,4.1,6.4,4.0,443.0,411.0,34.0,60.0,968.0,0.9142561983471076,0.0413223140495867,0.0454545454545454,255.62,22.0,131.0,97397,77431,104,125,77202,12277,0.159024378,12398,0.160591695,7478,0.096862776,6835,0.088533976,5804,0.075179399,8140,0.105437683,5094,0.065982747,5115,0.06625476,3975,0.051488303,2606,0.033755602,1969,0.025504521,1430,0.018522836,299,0.003872957,452,0.005854771,580,0.007512759,644.0,0.008341753,432,0.00559571,236,0.003056916,121,0.001567317,375.0,0.004857387,287,0.00371752,140.0,0.001813425,164.0,0.002124297,57.0,0.000738323,107.0,0.001385974,0.0,0,48,0.000621746,36.0,0.000466309,49.0,0.000634699,0.0,0,0.0,0,24.0,0.000310873,0.0,0,0.0,0,25.0,0.000323826,0.0,0,5.0,6.47652E-05
