"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","descriptor9","descriptor10","descriptor11","descriptor12","descriptor13","descriptor14","descriptor15","descriptor16","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","party12","party13","party14","party15","party16"
"1",1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,2,3,4,5,6,7,9,10,16,8,14,11,12,15,13
"2",0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,2,3,4,5,7,8,6,9,10,16,11,12,13,14,15
"3",0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,2,3,4,5,6,9,7,8,10,15,13,11,16,12,14
"4",1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,2,1,4,3,6,5,8,7,10,9,12,11,14,13,16,15
"5",0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,2,4,3,6,7,5,13,8,12,9,10,11,15,16,14
"6",1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,2,1,4,3,6,5,8,7,10,9,12,11,14,13,16,15
"7",1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,2,1,4,3,6,5,8,7,10,9,12,11,14,13,16,15
"8",1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,2,1,4,3,6,5,8,7,10,9,12,11,14,13,16,15
"9",0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,2,3,5,4,6,7,8,9,10,12,11,14,15,16,13
"10",0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,2,4,3,5,8,9,6,7,13,10,11,14,12,15,16
"11",1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,2,3,4,5,6,9,8,7,10,15,14,11,12,16,13
"12",1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,2,4,5,3,6,7,8,9,12,14,10,13,16,11,15
"13",0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,2,3,4,5,6,13,8,7,9,16,12,10,15,14,11
"14",1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,2,3,4,5,6,9,7,8,10,11,12,16,15,14,13
"15",1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,2,1,4,3,6,5,8,7,10,9,12,11,14,13,16,15
"16",1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,2,3,5,4,7,6,8,16,13,12,15,9,14,11,10
"17",0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,3,2,4,7,6,5,8,10,12,9,14,15,11,13,16
