"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","descriptor9","descriptor10","descriptor11","descriptor12","descriptor13","descriptor14","descriptor15","descriptor16","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","party12","party13","party14","party15","party16"
"1",0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,2,1,4,3,6,5,7,8,11,10,9,14,16,15,13,12
"2",0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,2,3,4,6,5,9,7,8,12,16,10,13,15,11,14
"3",1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"4",1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,3,2,5,4,6,10,8,7,16,12,15,11,9,14,13
"5",0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,2,4,3,5,6,8,7,9,10,16,15,12,13,14,11
"6",0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,1,2,4,3,6,7,5,8,10,9,12,15,11,14,16,13
"7",1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,2,3,4,5,6,7,11,8,9,16,14,10,12,15,13
"8",1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,2,3,4,7,5,6,14,9,8,13,11,16,15,10,12
"9",1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,2,4,3,5,9,6,8,7,15,10,11,13,14,16,12
"10",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"11",0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,2,4,3,5,7,16,6,9,11,8,12,15,10,13,14
"12",0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,2,3,4,6,5,7,8,10,15,11,9,16,13,14,12
"13",0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,2,5,3,4,7,6,8,10,9,16,12,11,13,14,15
"14",0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,2,3,4,6,16,5,11,7,15,9,10,13,8,12,14
"15",1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"16",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,3,5,7,9,6,8,11,13,15,10,16,14,12
"17",0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,2,3,5,4,6,7,8,11,12,9,14,10,13,15,16
"18",0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,2,4,3,5,7,10,6,16,8,9,12,15,13,14,11
"19",0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,2,1,4,5,3,9,6,7,12,8,10,11,14,16,15,13
"20",1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"21",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,3,6,4,5,9,7,8,14,16,12,13,15,11,10
"22",1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,2,3,4,5,7,8,6,11,10,9,16,12,14,13,15
"23",1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"24",1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"25",1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,2,1,3,4,5,6,10,14,15,7,12,11,16,8,9,13
"26",1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"27",0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,3,2,5,4,6,7,8,10,9,11,12,14,16,15,13
"28",1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"29",1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"30",0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,2,3,5,6,4,7,8,10,11,9,16,13,15,14,12
"31",0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,2,3,6,4,5,7,8,9,11,10,14,12,15,16,13
