"","descriptor1","descriptor2","party1","party2"
"1",0,1,1,2
"2",0,0,1,2
"3",0,1,1,2
"4",1,0,1,2
"5",0,1,1,2
"6",1,0,1,2
"7",0,1,1,2
"8",0,0,1,2
"9",0,0,1,2
"10",1,0,1,2
"11",0,0,1,2
"12",1,0,1,2
"13",0,1,1,2
"14",0,1,1,2
"15",1,0,1,2
"16",0,0,1,2
"17",1,0,1,2
"18",1,0,1,2
"19",1,1,2,1
"20",1,0,1,2
"21",1,0,1,2
"22",0,1,1,2
"23",0,1,1,2
"24",0,1,1,2
"25",0,1,1,2
"26",0,1,1,2
"27",1,1,2,1
"28",0,0,1,2
"29",0,0,1,2
"30",0,1,1,2
"31",1,1,2,1
"32",1,0,2,1
"33",0,0,1,2
"34",0,0,1,2
"35",1,1,2,1
"36",0,0,2,1
"37",1,0,1,2
"38",1,1,2,1
"39",0,0,1,2
"40",0,0,1,2
"41",0,0,1,2
"42",0,0,1,2
"43",1,0,1,2
"44",0,1,1,2
"45",1,1,2,1
"46",1,1,2,1
"47",1,0,1,2
"48",1,1,2,1
"49",0,1,1,2
"50",1,1,2,1
"51",1,0,1,2
"52",0,1,2,1
"53",1,1,2,1
"54",1,0,1,2
"55",0,1,1,2
"56",0,0,1,2
"57",0,0,1,2
"58",0,0,2,1
"59",0,1,1,2
"60",1,0,1,2
"61",0,1,1,2
"62",0,0,1,2
"63",0,1,1,2
"64",1,0,1,2
"65",0,1,1,2
"66",1,1,2,1
"67",0,0,1,2
"68",0,0,2,1
"69",0,1,1,2
"70",1,1,2,1
"71",1,0,1,2
"72",1,1,2,1
"73",1,1,2,1
"74",1,1,2,1
"75",1,0,1,2
"76",1,1,2,1
"77",0,0,1,2
"78",1,0,1,2
"79",0,1,1,2
"80",0,1,1,2
"81",0,0,1,2
"82",1,0,1,2
"83",0,0,1,2
"84",0,0,2,1
"85",0,1,2,1
"86",1,1,2,1
"87",1,0,1,2
"88",0,0,1,2
"89",1,1,2,1
"90",1,1,2,1
"91",0,0,1,2
"92",1,1,2,1
"93",0,0,1,2
"94",0,0,1,2
"95",0,0,1,2
"96",1,0,2,1
"97",1,0,1,2
"98",1,0,2,1
"99",1,1,2,1
"100",0,0,1,2
"101",1,1,2,1
"102",1,0,1,2
"103",0,0,1,2
"104",0,0,1,2
"105",0,0,1,2
"106",1,0,1,2
"107",1,0,2,1
"108",1,0,1,2
"109",0,0,1,2
"110",1,0,1,2
"111",0,0,2,1
"112",0,1,1,2
"113",1,0,1,2
"114",0,0,2,1
"115",1,0,1,2
"116",0,1,1,2
"117",1,0,1,2
"118",1,0,1,2
"119",0,1,1,2
"120",1,0,1,2
"121",0,1,1,2
"122",1,1,2,1
"123",1,0,1,2
"124",0,0,1,2
"125",0,1,1,2
"126",1,0,1,2
"127",1,1,2,1
"128",1,0,1,2
"129",0,0,1,2
"130",1,1,2,1
"131",0,1,1,2
"132",0,1,1,2
"133",1,1,2,1
"134",1,1,2,1
"135",1,0,1,2
"136",1,0,2,1
"137",0,1,1,2
"138",1,0,1,2
"139",1,0,1,2
"140",0,1,1,2
"141",0,0,2,1
"142",0,1,1,2
"143",0,1,1,2
"144",1,0,1,2
"145",0,0,1,2
"146",1,0,1,2
"147",0,0,1,2
"148",1,1,2,1
"149",0,1,1,2
"150",0,0,1,2
"151",0,0,1,2
"152",0,1,1,2
"153",0,0,2,1
"154",1,0,1,2
"155",1,0,1,2
"156",0,0,1,2
"157",1,0,1,2
"158",0,0,1,2
"159",1,0,1,2
"160",1,0,1,2
"161",0,0,2,1
"162",0,1,1,2
"163",1,1,2,1
"164",0,1,2,1
"165",1,1,2,1
"166",1,0,1,2
"167",0,1,2,1
"168",1,0,1,2
"169",1,1,2,1
"170",0,1,1,2
"171",1,1,2,1
"172",1,0,1,2
"173",0,1,1,2
"174",0,1,1,2
"175",0,0,1,2
"176",0,0,1,2
"177",1,1,2,1
"178",1,0,1,2
"179",0,0,1,2
"180",0,1,1,2
"181",1,1,2,1
"182",0,1,1,2
