"","descriptor1","descriptor2","descriptor3","descriptor4","descriptor5","descriptor6","descriptor7","descriptor8","party1","party2"
"1",0,1,0,1,1,0,0,1,1,2
"2",0,1,1,1,0,1,0,0,1,2
"3",1,0,0,1,0,0,1,0,1,2
"4",0,1,1,1,0,0,1,1,1,2
"5",1,1,1,1,0,0,1,0,2,1
"6",0,1,0,1,0,1,1,0,1,2
"7",1,0,1,0,0,0,0,1,1,2
"8",0,0,0,0,1,0,1,1,1,2
"9",1,0,1,1,1,1,0,0,1,2
"10",0,0,1,0,0,1,1,1,1,2
"11",0,0,1,1,0,1,0,1,1,2
"12",0,0,1,1,0,0,1,1,1,2
"13",0,1,1,0,1,0,0,1,1,2
"14",0,1,1,1,0,1,0,0,1,2
"15",0,0,0,1,1,0,1,0,2,1
"16",1,0,0,1,1,1,1,1,1,2
"17",1,0,0,1,1,0,1,0,1,2
"18",1,1,1,1,0,0,0,1,2,1
"19",1,1,1,1,1,0,1,0,2,1
"20",1,0,1,1,0,1,1,1,1,2
"21",1,0,1,0,0,1,1,1,1,2
"22",1,0,0,0,1,0,0,0,1,2
"23",1,0,1,0,1,1,1,1,1,2
"24",1,0,1,1,0,1,0,1,1,2
"25",0,0,0,0,0,0,1,0,1,2
"26",0,0,0,0,0,0,0,0,1,2
"27",1,1,0,1,0,1,1,0,2,1
"28",1,0,0,0,0,1,1,1,1,2
"29",1,1,0,0,1,1,1,0,2,1
"30",1,0,1,1,0,1,1,1,1,2
"31",1,0,0,0,0,1,0,0,1,2
"32",0,0,1,1,0,0,1,1,1,2
"33",1,0,1,1,0,1,0,0,1,2
"34",1,0,0,0,1,1,1,1,1,2
"35",0,0,0,0,0,0,1,1,1,2
"36",1,0,1,0,1,1,1,0,1,2
"37",0,1,0,0,0,0,0,0,1,2
"38",1,1,1,1,0,0,0,1,2,1
"39",0,0,0,0,1,0,1,0,1,2
"40",1,1,1,0,1,0,1,1,2,1
"41",0,0,0,0,0,0,0,1,1,2
"42",0,0,0,1,0,1,0,0,1,2
"43",1,0,0,1,1,1,0,0,1,2
"44",1,1,1,0,0,0,0,1,2,1
"45",1,1,1,1,1,0,1,1,2,1
"46",0,0,1,0,0,0,1,0,1,2
"47",1,1,0,1,1,1,1,0,2,1
"48",0,0,0,0,0,0,0,1,1,2
"49",0,1,1,1,1,0,1,1,1,2
"50",1,0,1,0,0,1,1,0,1,2
"51",1,1,0,0,1,1,0,0,2,1
"52",1,0,0,1,1,1,1,0,1,2
"53",0,0,0,1,0,0,1,0,1,2
"54",0,0,0,0,1,1,1,0,1,2
"55",0,0,0,1,1,0,1,0,1,2
"56",0,0,0,0,0,1,0,0,2,1
"57",0,1,0,0,1,1,0,1,1,2
"58",1,1,1,0,0,0,0,1,2,1
"59",0,1,0,0,1,1,0,0,1,2
"60",0,0,0,1,1,1,1,1,1,2
"61",0,0,0,1,1,1,0,1,1,2
"62",1,0,1,1,1,0,0,1,1,2
"63",1,0,1,1,0,1,0,1,1,2
"64",1,1,1,0,1,0,1,1,2,1
